Artist,Album,Weight,Tags,Published
Amederia,Sometimes we have wings,106997625000,"Gothic Doom Metal, Gothic Metal, doom metal, Gothic, Doom",
Amederia,Sometimes We Have Wings...,88179951085.7143,"2008, Gothic Doom Metal, albums i want",
Symphonian,Incarnation of Reality,78742652326.53061,"Gothic Metal, 2011, Gothic Doom Metal",
Edenian,Winter Shades,23477165670,2012,
Amederia,Unheard Prayer,21281521971.875,"2014, Gothic Doom Metal, Bandcamp",
Aut Mori,Первая Слеза Осени,13222489190.625,,
Edenian,Rise Of The Nephilim,10561649125,2013,
Orphans Of Dusk,Revenant,9567328000,,
Amederia,Unheard Prayers,6672525000.000001,,
DJ Adam,Tacatà,6533828500,,
Evolvent,Delusion,6055932918.5185175,,
Fading Bliss,From Illusion to Despair,4937135568.75,,
Raving Season,Amnio,3792207533.3333335,,
Vigilia Septima,while we sleep,3636075600,,
Evolvent,Whatever Happens,3110084700,,
Evolvent,Spiritual Confession,2840595692,,
Aschental,Jiska,1607970000,,
EdenFall,Forever Fallen,1461456000,,
MoonWay,2 Times,1241370000,,
Vigilia Septima,Drowning,1235891983.3333335,,
DJ Adam,I Follow Rivers,1215810000,,
EdenFall,Under Sultry Moons and Velvet Skies,1052145079.9999999,"heavy metal, black metal, metal, doom metal, Gothic",
MoonWay,My 7even,943948036.7346936,,
Edenian,Forgotten Once,941590832,,
Fading Bliss,Journeys In Solitude,873810000,,
Drift into Black,Dead Suns Under the Forever Moon,764411000,,
Locus Titanic Funus,Castus Lacrima,723937788.888889,,
Never Comes Silence,Red Ocean,615253086.419753,,
Eternal Cry,The garden of dead flowers,596777422.2222222,,
Amederia,Unheard Player,542860621.875,,
Clapatria,Fall,515719765.99999994,,
Auto-De-Fe,Demo,506763000,,
Absenth,Love Is Dead,476831314.28571427,,
Useless Pain,Useless Pain,425088000,,
NEVERDIE,The Source Of Black Water,376667370,,
In Absenthia,Amongst The Lovers,344378100,,
NEVERDIE,No Rock Un Rolled,331830364.2857143,,
Colder thy Kiss,Into The Mouth Of God,310393597.95918363,Gothic Doom Metal,
My Forgotten God,My Forgotten God,309659200,,
DJ Adam,Hits Summer 2012,303855000,,
Amederia,Untitled Album,261495000,,
Symphonian,demo,241410893.75,,
Aut Mori,Pervaja Sleza Oseni,205697206.25,,
NEVERDIE,Life I Lead,192389999.99999997,,
Moaning Silence,A World Afraid Of Light,187318415.99999997,,
Fading Bliss,Fading Bliss,186454331.25,,
Ashes of Destiny,Desolate Figures,181891512,,
INNERLANE,Gothic Spirits Another Run (the Best in Gothic Metal),172380000.00000003,,
Raving Season,The Brightness Of My Disaster (EP),159330000,,
In Absenthia,The Peaceful Lotus,153683828.5714286,,
Evictus,The Box,128394240.00000001,,
where lovers rot,Fallen from Grace,124058057.14285713,,
Ateria,Órói (bathroom edition),107043000,,
Les Ténèbres,...And the Waves Came Crushing Down,105136500,,
Drift into Black,Anthems from the Darkest Winter,101848428.00000001,,
AsperCrucio,Мёртвая Вода,100512500,,
DJ Adam,Gangnam Style,94080000,,
Drift into Black,Rebirth,91562400,,
INVERNOIR,Mourn - EP,82803600,,
Raving Season,The brightness of my disaster,82257280,,
Aeons in Solitude,Mourning Cloak,79380000,,
Never Comes Silence,One Second Eternity,78979755.55555557,,
Seeds of Destiny,Seeds of Destiny,78604822.22222221,,
Adelaide Symphony Orchestra; Virgin Black,Requiem: Mezzo Forte,68160000,,
Danza Sombria,A Tribute to Estatic Fear,65790000,,
The Agony Column,Away From Luciferian Claws,61776000,,
INVERNOIR,Mourn,58139250,,
Moaning Silence,Fragrances from Yesterdays,57955572,,
where lovers rot,Autumn Tears E.P,55758888.88888889,,
Edenian,Fall The Dusk (Single),55650000,,
Evolvent,Human Instinct,52786800,"Gothic Metal, metal, doom metal, funeral doom metal, melodic doom metal",
Eternal Cry,Eternal Cry,51972582.71604938,,
Обитель,Орден Дракона,51600000.00000001,,
In Peccatum,Antília,50778000,,
Aut Mori,Ïåðâàÿ Ñëåçà Îñåíè,48321000,,
Clapatria,Dystopia Dawn,48288000,,
Evolvent,Under the Rain,45536400,,
Petite Mort,Petite Mort,44436000,petitemort,
Edenian,Fall The Dusk,44030700,,
Julioso,Space Homme - EP,41730305.55555556,"heavy metal, black metal, metalcore, electronic, electronica",
where lovers rot,Demo,37391688.88888889,,
Evolvent,Spiritual Confession (Ep),36570000,,
Moaning Silence,A Waltz Into Darkness,33048000,,
Edenian,Confide In Me,31168800,,
Locus Titanic Funus,Never Pretend,30869300,,
Edenian,Forgotten Once (EP),30090000,,
Evolvent,Human Instinct (EP),29784000,,
Vigilia Septima,Two Moments,29106000,,
where lovers rot,Demo 2014,27846000,,
Colder thy Kiss,Into The Mouth Of God (Ep),27300000,,
DJ Adam,Grand Theft Auto Vice City,26442000,,
DJ Adam,Spring Break Party 2013 (Miami and Cancun Party),19650000,,
Мелодия слёз,Омут,16422000,,
Garden Of Snakes,Last Flower this Spring [Pre-Release Instrumental Demo],16380000,"seen live, folk, Progressive rock, piano, Avant-Garde",
DJ Adam,Titanium (Tribute to David Guetta & Sia),16128000,,
Amederia,Beautiful Female Voices from Russia,15444000,,
Drift into Black,Shadow People,14978520.000000002,,
Aut Mori,Pervaya Sleza Oseni,14307000,,
Julioso,Liminality II,13209000,"heavy metal, black metal, metalcore, electronica, indie",
AsperCrucio,Стены безмолвия,12559320,,
