Artist,Album,Weight,Tags,Published
Celtic Frost & Bathory,Split CD,5868324000,,
Quintessenz,Back To The Kult Of The Tyrants,1216473309.0000002,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD1,1042524000,,
Quintessenz,To The Gallows,728211456,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD3,655302000,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD2,332220000,,
Fallenlight,Demo,322461000,,
Darkness of hell,Under the Flag of Hate,251735377.77777782,,
Hate Angel,Chosen Ones,191970240,2019,
DruX,Forever Switched,122670000,,
Quintessenz,Über Metal,104729856,,
Черная Вдова,Арийские Военные Гимны,52824000,,
Nekromantie,Nekromantie,51194982.222222224,,
Nekromantie,Resurrecion Maldita,50200320,,
DruX,Passport,37083000,,
Yellowgoat,The Yellowgoat Sessions,35412000,old school black metal,
Nebeldunkel,Svirnath & Conte Slayvimor & Nebeldunkel (Split),30893700,,
Fallenlight,Last Man Standing,24137999.999999996,,
Bestias,Na Krilima Osvete (demo) 2014,18360000,,
Mortvary Kvlt,The Throne of Blasphemy... Is Arrived!!!,17388000,,
DruX,Lunarstorm,17187000,,
Quintessenz,Okkult Metal Spell,14433362.5,,
Disastrum,Dark Side Of God,11615621.875,,
Quintessenz,Back to the Cult of the Tyrants,9817500,,
DruX,Drux s/t LP,9180000,,
Cenere,Born In Miami,8886240,,
Nekromantie,Demo 1987,8749440,,
DruX,magic city,7656000,,
Quintessenz,less than three,7119933.333333333,,
Cenere,Dove Non C'è,6394125,,
Yellowgoat,Yellowgoat Sessions by Joel Grind,6075000,,
Satanic Wifebeater,Black Metal Cult,5824980,,
Hastio,Hastio,5628000,,
Cadaverise,Black Metal Journey,5572500,,
Morbid Flames,The Old Skull Returns,5136000,,
Ossario,Ossario,4805937.5,2020,
666 (CZE),Nekrofilie,4290000,,
Conte Slayvimor,Svirnath / Conte Slayvimor / Nebeldunkel,3960000,,
DruX,Miami,3816000,,
DruX,Moviestar,3738000,,
Celtic Frost & Bathory,Live Weinheim 1-6-85 + Demo 83-84,3588000,,
Uncreation's Dawn,Night Of The Damnation,3481644.4444444445,old school black metal,
Bestias,Bestias,3461775,,
Conte Slayvimor,Nel Cuore Dell'Inferno,3183608.163265306,,
Quintessenz,Essence of Christmas,3037500,,
Nekromantie,Rodrigo D. No Futuro,3033600,,
Death Mind,Iron & Steel,3021192,2020,
DruX,wym?,2655000,,
Nekromantie,Holocausto de Guerra,2580480,,
Nekromantie,Resurreccion Maldita,2492160,,
Koza Dereza,Tut Tobi J Smerť,2392000,,
Quintessenz,"Flute Ensemble Arrangements - Debussy, C. / Bizet, G. / Saint-Saens, C. / Ravel, M. / Couperin, F. / Ganne, L.",2282708.6776859504,,
DruX,TOUR TAPE MMXVI,1989000,,
DruX,The Last Of Us,1947000,,
Abyssal Crypt,Abyssal Crypt,1911000,,
Nekromantie,Resurrecciуn Maldita,1900799.9999999998,,
Marozia,Immortal as Hatred,1836000,,
DruX,Cursed,1584000,,
DruX,Vinterstilla,1470000,,
Anal Spice,I am with those you hate!,1470000,,
Marozia,Os Caminhos Que Ela Dita,1470000,,
Nekromantie,Ultrametal,1382400,,
Cadaverise,Only Demo is Real,1356908,,
Bestias,Tupperware Demo Party 2013,1350000.0000000002,,
Cenere,Noise,1225162.5,,
Nekromantie,Resurrección Maldita (Compilation),1209600,,
Conte Slayvimor,Dualità tra Distruzione e Desiderio,1098000,,
Bestias,Na Krilima Osvete,1092000,,
DruX,Gluck Auf,1079562.5,,
Conte Slayvimor,Svirnath & Conte Slayvimor & Nebeldunkel (Split),1050000,,
Nekromantie,Nekromantie (demo),1034880,,
Nekromantie,Resurreción Maldita,1002240,,
Yellowgoat,Yellowgoat,972000,,
Funeral Day,Vihan Vuodet,957000,,
Nebeldunkel,Svirnath / Conte Slayvimor / Nebeldunkel,818070,,
Hastio,Hastio s/t,756000,,
Marozia,A Vida Cobra,756000,2018,
Cenere,Dj Jaga Dj Tool Vol. 1,754656,,
Cenere,Anima,734400,,
DruX,thirsty?,729000,,
DruX,MMXVII,672000,,
mythology (us),Tepes,660000,,
FUNEBRE & AETHERIUS OBSCURITAS,Hail Hunderground Vol. 2.,660000,,
FUNEBRE & VORKUTA,Hail Hunderground Vol. 2.,600000,,
DruX,Housdeep Signs 01,528000,,
Bestias,Cronicas Misantropicas,522000,,
666 (CZE),Nekrofilie [Demo],480000,,
DruX,illusion,462000,,
Koza Dereza,ČORNYJ ŠĽACH,441000,,
DruX,Drux,423000,,
Conte Slayvimor,Il Freddo Respiro della Morte,423000,,
DruX,Gluck Auf - EP,420000,,
Bestias,Na Krilima Osvete (Demo),396000,,
Conte Slayvimor,Nel Cuore Dell' Inferno,393000,,
DruX,Vinterstilla (EP),390000.00000000006,,
Conte Slayvimor,Svirnath; Conte Slayvimor; Nebeldunkel,351000,,
Necrokvlt,Schizoid Wizard,312000,,
Quintessenz,Ellipsis,307102.0408163265,,
Cenere,Apotelesma,306533.3333333333,,
Bestias,Paklena Snaga,306000,,
