Artist,Album,Weight,Tags,Published
Have Heart,Songs to Scream at the Sun,26313068264.818027,"hardcore, favorite albums, melodic hardcore, modern hardcore, punk","21 Sep 2011, 03:57"
Converge,Jane Doe,24644813897.16351,"metalcore, hardcore, mathcore, 2001, albums I own","02 Jul 2010, 14:59"
Defeater,Empty Days & Sleepless Nights,17490633003.709827,"hardcore, melodic hardcore, post-hardcore, 2011, heartcore","21 Feb 2011, 14:56"
Comeback Kid,Wake The Dead,16129575002.775764,"hardcore, melodic hardcore, albums I own, hardcore punk, 2005",
Converge,Axe to Fall,14886219423.224487,"metalcore, 2009, mathcore, hardcore, hardcore punk","02 Oct 2012, 21:57"
Deez Nuts,Stay True,11841335446.225435,"hardcore, rapcore, 2008, australian, metalcore",
Converge,No Heroes,11104946401.181963,"metalcore, mathcore, hardcore, albums I own, 2006","02 Jul 2010, 14:47"
Stick to Your Guns,Diamond,10846513275.360413,"metalcore, hardcore, albums I own, metal, Straight Edge",
Ceremony,Violence Violence,10490114911.923443,"hardcore, hardcore punk, favorite albums, post-powerviolence, punk","12 Apr 2018, 17:26"
Converge,You Fail Me,10336779292.436844,"hardcore, metalcore, mathcore, 2004, albums I own","02 Oct 2012, 21:53"
Defeater,Travels,10230163959.169508,"hardcore, 2008, melodic hardcore, modern hardcore, own on vinyl",
Have Heart,The Things We Carry,10144544023.61729,"hardcore, albums I own, punk, favorite albums, 2006",
Hatebreed,The Rise Of Brutality,9991789323.863804,"hardcore, metalcore, 2003, metal, albums I own",
Converge,All We Love We Leave Behind,9858852118.82565,"2012, metalcore, mathcore, hardcore, chaotic hardcore","02 Oct 2012, 08:19"
Hatebreed,Supremacy,9737575786.154343,"hardcore, metalcore, albums I own, 2006, metal","19 Feb 2020, 23:14"
Refused,The Shape of Punk to Come,9011780532.34301,"hardcore, post-hardcore, albums I own, punk, favorite albums","06 Sep 2009, 18:37"
Minor Threat,Complete Discography,9009890131.747446,"hardcore punk, punk, Straight Edge, hardcore, albums I own",
Verse,Aggression,8864985000.67801,"hardcore, favourite album, modern hardcore, albums I own, 2008",
Raised Fist,Veil of Ignorance,8731930228.360254,"hardcore, metalcore, albums I own, hardcore punk, Masterpiece",
Dead Fish,Contra Todos,7981515740.73916,"hardcore, melodic hardcore, rock, punk, 2009",
Ceremony,Still Nothing Moves You,7972838899.936464,"hardcore, favorite albums, hardcore punk, experimental, albums I own","20 Apr 2009, 03:54"
Comeback Kid,Turn It Around,7907020221.834394,"hardcore, melodic hardcore, hardcore punk, albums I own, punk",
Comeback Kid,Broadcasting,7538055125.610831,"hardcore, melodic hardcore, hardcore punk, albums I own, 2007",
Terror,Keepers Of The Faith,7460581992.560334,"hardcore, 2010, metal, thrash metal, metalcore",
Hatebreed,Perseverance,7231853712.899156,"hardcore, metalcore, Hatebreed, metal, 2002",
Gorilla Biscuits,Start Today,7151790964.087738,"hardcore, hardcore punk, punk, Straight Edge, melodic hardcore","10 Sep 2010, 11:04"
Ignite,Our Darkest Days,7070247905.983692,"melodic hardcore, hardcore, albums I own, favorite albums, 2006",
Hatebreed,Hatebreed,6740981066.4984865,"hardcore, 2009, metalcore, hardcore punk, metal",
Raised Fist,Sound of the Republic,6689691773.807625,"hardcore, albums I own, burning heart, hardcore punk, favourite album",
Every Time I Die,New Junk Aesthetic,6408220376.635119,"metalcore, hardcore, 2009, Southern Rock, Southern metal",
Stick to Your Guns,The Hope Division,6406434225.268173,"hardcore, metalcore, melodic hardcore, 2010, metal","18 Oct 2010, 07:57"
Every Time I Die,Gutter Phenomenon,6311686372.59365,"metalcore, hardcore, albums I own, 2005, post-hardcore","07 Dec 2020, 22:10"
Cancer Bats,Hail Destroyer,5874337642.563863,"hardcore, hardcore punk, 2008, sludge metal, Southern Rock","05 Sep 2009, 05:12"
Hatebreed,The Divinity Of Purpose,5645066762.657584,"metalcore, hardcore, 2013, punk, hard rock",
He Is Legend,I Am Hollywood,5515768459.506571,"hardcore, albums I own, 2004, Southern Rock, favorite albums","16 Oct 2008, 06:09"
H2O,Nothing To Prove,5483100102.139972,"hardcore, punk, punk rock, hardcore punk, rock",
Every Time I Die,Hot Damn!,5331527544.403262,"metalcore, hardcore, albums I own, favorite albums, screamo",
Your Demise,The Kids We Used To Be...,5255778336.695689,"hardcore, hardcore punk, melodic hardcore, 2010, metalcore",
Terror,One With The Underdogs,5069967146.925364,"hardcore, hardcore punk, metal, Straight Edge, 2004",
Modern Life Is War,Witness,4892103443.787505,"hardcore, 2005, favorite albums, party, Best of 2005",
Verse,From Anger And Rage,4673861392.626552,"hardcore, albums I own, modern hardcore, favourite albums, mayara",
Comeback Kid,Symptoms And Cures,4548252766.306038,"hardcore, melodic hardcore",
Fucked Up,David Comes To Life,4396083311.069762,"rock opera, 2011, hardcore, albums I own, vinyl",
Hatebreed,Satisfaction Is the Death of Desire,4373256157.975011,"hardcore, metalcore, 1997, metal, heavy metal","07 Jan 2013, 20:22"
Defeater,Lost Ground,4297412151.140308,"hardcore, 2009, melodic hardcore, own on vinyl, punk","21 Sep 2014, 13:56"
Evergreen Terrace,Almost Home,4226836799.315835,"hardcore, metalcore, 2009, melodic hardcore, rock",
Every Time I Die,The Big Dirty,4213580420.6777163,"metalcore, albums I own, metal, hardcore, southern hardcore",
Your Demise,Ignorance Never Dies,3854775233.023871,"hardcore, 2009, epic, hardcore punk, so hardcore","25 Mar 2009, 20:23"
Hatebreed,For The Lions,3605606367.168338,"2009, hardcore, metalcore, cover album, thrash metal",
Norma Jean,The Anti Mother,3567266908.3010435,"hardcore, metalcore, 2008, post-hardcore, mathcore",
Walls of Jericho,The American Dream,3496814596.535083,"metalcore, hardcore, 2008, metal, albums I own","28 Jan 2010, 19:46"
CPM 22,MTV ao Vivo,3484660293.973025,"hardcore, melodic hardcore, latin grammy nominated",
Bad Brains,Bad Brains,3469359198.49769,"hardcore punk, punk, 1982, 80s, hardcore","22 Feb 2010, 18:22"
Raimundos,Só No Forevis,3451122866.2712107,"1999, rock, alternative, alternative rock, hardcore",
Sick of It All,Death To Tyrants,3421978123.266223,"hardcore, hardcore punk, nyhc, 2006, albums I own",
Your Demise,The Golden Age,3332045949.257479,"hardcore, pop punk, melodic hardcore, 2012, pop","26 Mar 2012, 10:09"
Every Time I Die,Ex Lives,3316337965.4571385,"metalcore, 2012, hardcore, chaotic hardcore, albums I own",
Verse,Rebuild,3310350634.5911956,"hardcore, punk, favourite albums, verse, modern hardcore",
Poison the Well,You Come Before You,3268580086.7459188,"hardcore, metalcore, post-hardcore, albums I own, 2003","11 Jan 2021, 02:25"
Walls of Jericho,With Devils Amongst Us All,3201438848.3553114,"hardcore, metalcore, albums I own, post-hardcore, 2006","28 Jan 2010, 19:46"
Raimundos,Raimundos,3135579987.0402255,"punk rock, hardcore, brazilian rock, Raimundos, rock",
BoySetsFire,After the Eulogy,3044603650.288967,"albums I own, hardcore, post-hardcore, rock, indie","04 Jan 2013, 08:49"
Terror,The Damned The Shamed,2971191019.7514143,"hardcore, albums I own",
Terror,Always The Hard Way,2898588441.0853496,"hardcore, 2006, metal, punk, known albums",
Trapped Under Ice,Big Kiss Goodnight,2896719540.635324,"2011, hardcore, reaper records, Good Fight Music, I Scream Records",
Walls of Jericho,All Hail The Dead,2888235775.8662553,"hardcore, metalcore, 2004, metal, us","28 Jan 2010, 19:41"
Gallows,Orchestra of Wolves,2808361325.2597423,"albums I own, hardcore punk, hardcore, punk, punk rock",
Defeater,Letters Home,2807193377.3027797,"2013, hardcore, melodic hardcore, emo, post-hardcore",
Ceremony,Rohnert Park,2793176722.8217244,"hardcore punk, hardcore, punk, amazing, 2010","12 Apr 2018, 17:27"
