Artist,Album,Weight,Tags,Published
Gutalax,Shit Beast,10084245561000,"goregrind, grindcore, groovy, 2011, pornogrind",
Rompeprop,Hellcock's Pornflakes,5719953300293.75,"goregrind, grindcore, albums I own, 2003, porngrind",
Torsofuck,Erotic Diarrhea Fantasy,5710579574795.062,"goregrind, grindcore, death metal, Brutal Death Metal, porngrind",
The County Medical Examiners,Olidous Operettas,2778277707562.5,"goregrind, grindcore, albums I own, death metal, Mendigao thrash",
Rompeprop,Menstrual Stomphulk,2090491268595.0413,"Dor metal-Dorcore, grindcore, albums I own, goregrind, 2002",
Jig-Ai,Katana Orgy,1583180080416.0002,"grindcore, 2008, goregrind, pornogrind, albums I own","24 Mar 2014, 20:27"
Ahumado Granujo,Splatter-tekk,1457964706983.642,"goregrind, cybergrind, 2003, cybergore, technogrind",
Haemorrhage,Morgue Sweet Home,1139150794402.0408,"goregrind, grindcore, metal, albums I own, death-grind",
Jig-Ai,Jig-Ai,1130009624460.6482,"grindcore, porngrind, goregrind, death metal, Brutal Death Metal","24 Mar 2014, 20:28"
Haemorrhage,Apology for Pathology,1027088616668.3674,"goregrind, grindcore, death metal, deathgrind, Grind",
Grandma,Even If We Don't Get It Together,1011064656686.4197,,
Ahumado Granujo,Splatter Tekk,871187886000,,
Rompeprop,Gargle Cummics,830862667075,"goregrind, porngrind, grindcore, dutch, 2010",
Haemorrhage,Hospital Carnage,808714608000.0001,"goregrind, grindcore, death metal, 2011, best of 2011",
Last Days of Humanity,Hymns of Indigestible Suppuration,789431136880.1511,"goregrind, grindcore, Brutal Death Metal, 2000, Grind",
Last Days of Humanity,Putrefaction In Progress,726967480910.8625,"easy-listening, grindcore, goregrind, gorenoise, 2006",
Spasm,Paraphilic Elegies,613523928299.3197,"goregrind, grindcore, Czech, deathgrind","10 Mar 2009, 20:26"
Ahumado Granujo,Chemical Holocaust,512002706485.2607,"goregrind, grindcore, 2004, cybergrind, buscalo en mi blogger solo pon en tu buscador living gore",
Last Days of Humanity,The Sound of Rancid Juices Sloshing Around Your Coffin,473842057503.55023,"goregrind, grindcore, 1998, Brutal Death Metal, Slamming Brutal Death Metal",
