Artist,Album,Weight,Tags,Published
The Red Chord,Fed Through The Teeth Machine,1009490850.9249034,,
Impending Doom,Baptized In Filth,991512870.1547155,,
Born of Osiris,Tomorrow We Die Alive,986876435.1863227,,
Humanity's Last Breath,Humanity's Last Breath,981465672.8468802,,
The Red Shore,Lost Verses,966999384.4794254,,
My Autumn,My Autumn,961674149.380531,,
I Declare War,Amidst the Bloodshed,940696640.5567337,,
Rose Funeral,The Resting Sonata,940647492.1595074,,
Through the Eyes of the Dead,Malice,928124717.1353141,,
Oceano,Contagion,913765160.9013137,,
Shadow Of Intent,Reclaimer,905138991.8711033,,
Whitechapel,Mark of the Blade,891493565.7933315,,
The Red Chord,Prey For Eyes,844270776.1827999,,
Aversions Crown,Tyrant,843615388.0000001,,
Arsonists Get All The Girls,Motherland,814501262.890214,,
Animosity,Shut It Down,807974541.3331202,,
War from a Harlots Mouth,MMX,802929899.3973048,,
Job for a Cowboy,Ruination,797471414.0315542,,
Veil of Maya,All Things Set Aside,796629962.7793154,,
Fit For An Autopsy,Hellbound,783141533.1897027,,
The Browning,Isolation,762887711.2002547,,
Dr. Acula,Slander,759291606.2314571,,
Lorna Shore,Immortal,732674201.6177832,,
I Declare War,I Declare War,725029713.7627459,,
Defiler,Nematocera,708405193.4256055,,
War from a Harlots Mouth,In Shoals,683075514.8134744,,
Impending Doom,There Will Be Violence,680069276.7881061,,
Carnifex,Slow Death,679688836.861207,,
Veil of Maya,False Idol,658429796.3073606,,
The Contortionist,Language,653325671.3698491,,
War from a Harlots Mouth,Voyeur,649017385.6172924,,
Impending Doom,Nailed. Dead. Risen.,642498005.5337371,,
Impending Doom,Nailed.Dead.Risen,642498005.5337371,,
Chelsea Grin,Evolve,627203900.7117321,,
Slaughter To Prevail,MISERY SERMON,606717740.7534246,,
Bring Me the Horizon,2004 - 2013,600645534.6629025,,
Attila,Chaos,591007891.5207907,,
Rose Funeral,Gates of Punishment,571324581.7086291,,
Suicide Silence,Suicide Silence,568603094.1321626,,
Thy Art Is Murder,Human Target,565037847.2175891,,
All Shall Perish,"Hate, Malice, Revenge",536692192.58499414,,
Black Tongue,Nadir,534162352.5459376,,
Impending Doom,Death Will Reign,529297957.1364704,,
The Browning,Geist,514566530.69721115,,
The Contortionist,Apparition,488606582.599278,,
The Red Chord,Fused Together in Revolving Doors,487553985.2424665,,
The Red Chord,Fused Together in Revolving Do,487553985.2424665,,
Chelsea Grin,Self Inflicted,485131190.4052752,,
Bring Me the Horizon,Suicide Season: Cut Up!,480110254.93250096,,
Suffokate,Oakland,476206878.72131234,,
Whitechapel,The Somatic Defilement (Remastered),470313655.75401884,,
I Declare War,We Are Violent People By Nature,468768230.76327604,,
Betraying the Martyrs,The Resilient,462131427.4010839,,
Despised Icon,Beast,460432780.11831033,,
Arsonists Get All The Girls,Listen To The Color,457695044.6761454,,
Killwhitneydead,Nothing Less Nothing More,451693652.9469337,,
We Butter the Bread With Butter,Wieder geil!,435855597.82487166,,
Fit For An Autopsy,The Process of Human Extermination,429199178.0061094,,
Winds of Plague,A Cold Day In Hell,419231410.8554624,,
The Contortionist,Intrinsic,418359746.9391689,,
I Declare War,Malevolence,406483933.0655293,,
Dr. Acula,Silver Lipped Operator Of Bullshit,405149006.42416507,,
Dr. Acula,Silver-Lipped Operator Of Bullshit,405149006.42416507,,
Killwhitneydead,Inhaling the Breath of a Bullet,384779127.39159775,,
Attila,Fallacy,370258185.3626456,,
Suicide Silence,Ending is the Beginning: The Mitch Lucker Memorial Show,369126321.34104836,,
Rose Funeral,Crucify. Kill. Rot.,361123749.3055928,,
Rose Funeral,Crucify.Kill.Rot.,361123749.3055928,,
Rose Funeral,Crucify Kill Rot,361123749.3055928,,
Rose Funeral,Crucifly. Kill. Rot.,361123749.3055928,,
Rose Funeral,Crucify.Kill.Rot,361123749.3055928,,
Oceano,Revelation,354197971.54997224,,
Betraying the Martyrs,The Hurt the Divine the Light,348998216.17616737,,
Dead Silence Hides My Cries,The Wretched Symphony (2010),343484739.1485197,,
Salt The Wound,Kill the Crown,341907915.7907738,,
Attila,Villain,341223912.4326405,,
Make Them Suffer,Worlds Apart,335943390.10024196,,
We Butter the Bread With Butter,Projekt Herz EP,333958109.21530896,,
Bring Me the Horizon,Suicide Season - Cut Up,333310049.4630912,,
The Crimson Armada,Conviction,331907555.4439604,,
Aversions Crown,Servitude,327768000.83070165,,
Winds of Plague,Resistance,324561861.43799835,,
Job for a Cowboy,Demonocracy,317623078.12011176,,
Salt The Wound,Ares,317570024.6251103,,
Lorna Shore,Flesh Coffin,314484683.5464858,,
Killwhitneydead,So Pretty So Plastic,314071601.8381841,,
Killwhitneydead,"So Pretty, So Plastic",314071601.8381841,,
Through the Eyes of the Dead,Skepsis,311444486.60777825,,
Black Tongue,Born Hanged / Falsifier (Redux),301373311.15060663,,
Oceano,Incisions,286913657.566638,,
Upon a Burning Body,The World Is My Enemy Now,285914354.61276764,,
I Declare War,What You Deserve,284513938.83204395,,
Humanity's Last Breath,Abyssal,271552369.5564202,,
Dr. Acula,The Social Event of the Century,268346453.19510812,,
Molotov Solution,Molotov Solution,267850343.72771475,,
Veil of Maya,id,264960374.5244957,,
