Artist,Album,Weight,Tags,Published
Midnight Odyssey,Funerals From The Astral Sphere,1536570432.463517,"2011, atmospheric black metal, black metal, epic, atmospheric","09 Jan 2017, 06:15"
Caladan Brood,Echoes of Battle,1390492457.3346581,"2013, epic black metal, black metal, atmospheric black metal, Symphonic Black Metal","26 May 2016, 16:18"
Alrakis,Alpha Eri,1040420935.772012,"ambient, atmospheric black metal, Space Ambient, self mutilation services, albums I own",
Fen,The Malediction Fields,774975758.1073025,"atmospheric black metal, black metal, 2009, post-rock, blackgaze",
Fen,Epoch,698830094.878015,"atmospheric black metal, black metal, post-rock, 2011, blackgaze",
Gallowbraid,Ashen Eidolon,553123222.043963,"atmospheric black metal, black metal, 2010, best of 2010, doom metal","26 May 2016, 15:59"
Dordeduh,Dar de duh,542267055.5391215,"2012, atmospheric black metal, best of 2012, progressive black metal, black metal","01 Oct 2012, 09:26"
Elderwind,Волшебство живой природы,483656409.62524647,"atmospheric black metal, best of 2012, ambient black metal, black metal, 2012",
Aquilus,Griseus,468606218.7825023,"atmospheric black metal, black metal, metal, 2011, Symphonic Black Metal",
Saor,Aura,349727629.79310346,"folk metal, 2014, atmospheric black metal, best of 2014, black metal","26 Jun 2014, 18:29"
Midnight Odyssey,Firmament,304146892.8339723,"2009, best of 2009, demo, atmospheric black metal",
Sun of the Blind,Skullreader,294015241.8465463,"atmospheric black metal, black metal, atmospheric, ambient black metal, metal",
Skagos,Ást,287994901.39270663,"atmospheric black metal, 2009, post-rock, Post-Metal, Cascadian Black Metal",
Emyn Muil,Túrin Turambar Dagnir Glaurunga,250449879.49469057,"black metal, Symphonic Black Metal, atmospheric black metal, epic black metal, italian black metal",
Eldamar,The Force Of The Ancient Land,245287656.9013887,"black metal, atmospheric black metal, folk, ambient, epic",
Alrakis,Omega Cen,226267170.77951002,"atmospheric black metal, ambient black metal, cosmic black metal",
Skogen,Svitjod,218506100.0529031,"atmospheric black metal, best of 2011, black metal, swedish black metal, Nordvis",
Elffor,From the Throne of Hate,200738767.49859786,"favorite albums, atmospheric black metal, epic atmospheric bm",
Wędrujący Wiatr,"Tam, gdzie Miesiąc opłakuje Świt",189292730.99173552,"atmospheric black metal, best of 2013, Folk Black Metal, black metal, atmospheric",
Ellende,Todbringer,162650607.663941,"atmospheric black metal, best albums 2016",
Skogen,Vittra,155151085.60416266,"best of 2009, black metal, atmospheric black metal, Frostscald Records",
Midnight Odyssey,Shards of Silver Fade,148669325.23842105,"best of 2015, 2015, black metal, metal, ambient",
Lustre,Lost in Lustrous Night Skies,147400803.89401847,"black metal, atmospheric black metal, best of 2013, dark ambient, 2013",
Mesarthim,Isolate,145277288.46720102,"atmospheric black metal, ambient black metal, best of 2015, Symphonic Black Metal, 2015",
Elffor,Unblessed Woods,144609560.63348415,"ambient, medieval, dark ambient, atmospheric black metal, best of 2006",
Lustre,Wonder,114297724.57394174,"black metal, ambient black metal, best of 2013, atmospheric, dark ambient",
Sojourner,Empires Of Ash,113629241.37931032,"2016, atmospheric black metal, black metal, folk metal, epic black metal",
Saor,Roots,113444283.17352305,"folk metal, atmospheric black metal, celtic metal, black metal, folk",
Enisum,Arpitanian Lands,111151778.923564,"atmospheric black metal, pagan black metal, 2015",
Elffor,Son of the Shades,108875861.53027077,"black metal, dark ambient, medieval black metal, ambient, darkwave",
Midnight Odyssey,The Forest Mourners,106033430.47360247,"atmospheric black metal, black metal, 2008, dark ambient, demo",
Fear of Eternity,Spirit of Sorrow,105778300.01843625,"black metal, Symphonic Black Metal, atmospheric black metal, ambient black metal, atmospheric",
Sojourner,The Shadowed Road,105278009.83050847,"folk metal, atmospheric black metal, 2018, Melodic Death Metal, black metal","11 Mar 2018, 16:42"
Fen,Carrion Skies,98270191.4043484,"progressive black metal, Post-Black Metal, 2014, atmospheric black metal, best of 2014",
Alda,Alda,86128838.28853539,"atmospheric black metal, forest black metal, black metal, Singularity Publishing, Favorite BM",
The Great Old Ones,EOD: A Tale Of Dark Legacy,85232604.49486302,"black metal, atmospheric black metal, Post-Black Metal, atmospheric sludge metal","21 Jan 2017, 22:18"
Saor,Guardians,84178437.75779015,"2016, folk metal, atmospheric black metal, epic black metal, Folk Black Metal",
The Great Old Ones,Tekeli-li,83963744.80834752,"2014, best of 2014, Post-Black Metal, atmospheric black metal, Post-Metal",
Eldamar,A Dark Forgotten Past,83732207.77096115,"black metal, ambient, norwegian, ambient black metal, Norwegian Black Metal",
Mesarthim,.- -... ... . -. -.-. .,82926273.05352797,"atmospheric black metal, cosmic, depressive black metal, space metal, black metal",
Wędrujący Wiatr,"O Turniach, Jeziorach I Nocnych Szlakach",82504657.25462306,"atmospheric black metal, best of 2016",
Fyrnask,Bluostar,80238402.81717011,"2011, black metal, atmospheric black metal, ambient, Ritual",
Midnight Odyssey,Funerals From The Astral Sphere (CD1),79226893.47037484,"ambient, atmospheric, ambient black metal, atmospheric black metal",
Liveride,Сквозь Сибирь,78423972.31968811,"atmospheric black metal, dark ambient, ambient black metal, Russian Black Metal, black metal",
Fear of Eternity,Toward the Castle,77937335.35527273,"Symphonic Black Metal, atmospheric black metal, doom metal, Doom, ambient black metal",
Appalachian Winter,I Become The Frozen Land,77406716.00594647,"fully streamable albums, atmospheric black metal",
Elffor,Frostbitten Pain,77231281.52969894,"atmospheric black metal, best of 2010, black metal",
Fen,Winter,76156465.0286944,"2017, atmospheric black metal, black metal, post black metal, best albums of the 2010's",
Shylmagoghnar,Emergence,73977753.5742769,"2014, best of 2014, doom metal, Melodic Death Metal, dutch","21 Jan 2014, 17:09"
Mare Cognitum,Luminiferous Aether,72653247.9294336,"2016, atmospheric black metal, best albums 2016",
Lustre,They Awoke To The Scent Of Spring,72562916.8141593,"atmospheric black metal, black metal, ambient, ambient black metal, astral black metal",
Almyrkvi,Umbra,71713677.58290817,"atmospheric black metal, industrial black metal, black metal, metal, doom metal","05 Jan 2018, 12:13"
Mare Cognitum,An Extraconscious Lucidity,69582607.25159147,"black metal, atmospheric black metal, best of 2012, melodic black metal, Post-Black",
Fear of Eternity,Funeral Mass,67068891.60288408,"black metal, Symphonic Black Metal, ambient black metal, symphonic metal, atmospheric black metal",
Fear of Eternity,The Evocation of the Unseen,64224942.46575342,"black metal, doom metal, Doom, 2013, Symphonic Black Metal",
Mare Cognitum,Phobos Monolith,63977686.71916711,"best of 2014, melodic black metal, 2014, atmospheric black metal, space black metal",
The Great Old Ones,Al Azif,62543707.78086063,"Post-Black Metal, best of 2012, 2012, atmospheric black metal, Post-Metal",
Emyn Muil,Elenion Ancalima,59945396.37583892,"black metal, Symphonic Black Metal, atmospheric black metal, epic black metal, italian black metal","24 Aug 2017, 19:37"
Ashbringer,Yūgen,57556116.493416496,"atmospheric black metal, black metal, metal, chill, rock",
Liveride,Старый Месяц,56384104.65717982,"black metal, dark ambient, ambient black metal, atmospheric black metal, Russian Black Metal",
