Artist,Album,Weight,Tags,Published
Bullet for My Valentine,Temper Temper,4188347408.1859455,,
After the Burial,Rareform,4180552601.389215,,
In This Moment,Beautiful Tragedy,4159045951.73142,,
"Oh, Sleeper",Children Of Fire,4128223196.8133397,,
Miss May I,At Heart,4097417073.3006306,,
Five Finger Death Punch,Got Your Six,4084866601.631404,,
Parkway Drive,Reverence,4074487510.4092727,,
Killswitch Engage,As Daylight Dies (Special Edition),4045374951.0645976,,
Neaera,The Rising Tide of Oblivion,4041245864.8205004,,
Neaera,Rising Tide Of Oblivion,4041245864.8205004,,
Heaven Shall Burn,Veto,4007418040.043084,,
Chimaira,Chimaira,3956335560.902741,,
Trivium,In Waves (Special Edition),3931143131.4290204,,
Motionless in White,Infamous,3849637661.923454,,
While She Sleeps,This Is the Six (Deluxe Edition),3829667255.561854,,
Caliban,I Am Nemesis (Deluxe Version),3827933541.7386303,,
Dead by April,Let The World Know,3798772067.430025,,
Bleeding Through,The Truth,3781904813.461931,,
The Acacia Strain,The Dead Walk,3757111143.7924733,,
Emmure,The Respect Issue,3734828734.7298183,,
Caliban,Ghost Empire,3730249077.5545106,,
From Autumn To Ashes,Holding A Wolf By The Ears,3705451539.9022517,,
Bury Tomorrow,Runes,3700048068.6707907,,
Stigmata,Мой Путь,3682436288.0165553,,
Callejon,Willkommen im Beerdigungscafé,3681779094.4280663,,
Haste the Day,Burning Bridges,3658786566.756981,,
Caliban,The Opposite From Within,3482391316.986856,,
As I Lay Dying,Beneath the Encasing of Ashes,3480535169.2607784,,
Haste the Day,When Everything Falls,3467618403.2421837,,
From Autumn To Ashes,Abandon Your Friends,3415699299.9421744,,
Caliban,Say Hello To Tragedy,3340227397.8904924,,
The Agonist,Once Only Imagined,3328868560.3395224,,
Trivium,The Sin And The Sentence,3321193704.74031,,
Demon Hunter,Summer Of Darkness,3246529779.039749,,
While She Sleeps,The North Stands for Nothing,3203200334.2258506,,
Frontside,Zniszczyć wszystko,3199572030.7533965,,
Chimaira,The Impossibility of Reason,3171290776.347671,,
Motionless in White,Disguise,3168919064.368974,,
Atreyu,A Death-Grip on Yesterday,3165272743.678053,,
Lamb of God,Resolution,3155181150.8086443,,
Atreyu,Suicide Notes And Butterfly Kisses,3138114264.8310704,,
Bury Tomorrow,Portraits,3125597912.9212584,,
Neaera,Let The Tempest Come,3124695441.7848353,,
Lamb of God,New American Gospel,3112684129.2512264,,
Unearth,The Oncoming Storm,3081568562.0486,,
Haste the Day,Pressure The Hinges,3044807575.976841,,
Misery Signals,Of Malice and the Magnum Heart,3013476789.312549,,
Caliban,I Am Nemesis,2960693004.394135,,
Northlane,alien,2924157665.831219,,
Northlane,Node,2920010951.6532373,,
Wage War,Deadweight,2891017513.1097794,,
Avenged Sevenfold,Hail To The King,2874229897.253701,,
While She Sleeps,So What?,2848590260.236151,,
Architects,Daybreaker (Deluxe Edition),2788235845.688586,,
The Acacia Strain,Wormwood,2764781961.2989283,,
I Killed the Prom Queen,Beloved,2764670264.0638733,,
Stigmata,Stigmata,2706424832.23431,,
Unearth,The March,2686005978.8373704,,
Avenged Sevenfold,The Stage,2683304251.0629506,,
"Oh, Sleeper",Son Of The Morning,2683169643.4732604,,
August Burns Red,Found In Far Away Places,2620266653.401451,,
Bullet for My Valentine,Venom,2598931021.0295806,,
As I Lay Dying,A Long March: The First Record,2574547566.0767817,,
Chimaira,Pass Out of Existence,2570182562.268737,,
Haste the Day,Dreamer,2569441263.613221,,
In This Moment,The Dream,2559449136.0779486,,
The Devil Wears Prada,Zombie EP,2530784924.03157,,
Atreyu,The Best Of Atreyu,2457423012.1321154,,
Bullet for My Valentine,Bullet For My Valentine,2450876540.972941,,
Trivium,Shogun (Special Edition),2449715380.7858553,,
Killswitch Engage,Incarnate,2444651306.829972,,
Bleeding Through,Declaration,2431215812.953134,,
Motionless in White,Graveyard Shift,2429168775.981524,,
DevilDriver,The Fury of Our Maker's Hand,2392310600.6035833,,
Trivium,What The Dead Men Say,2390035094.9590254,,
Demon Hunter,Storm the Gates of Hell,2380870161.901847,,
Demon Hunter,The Triptych,2347364599.8406296,,
Haste the Day,Attack Of The Wolf King,2329902715.6546054,,
Trivium,Ascendancy [CD/DVD] Disc 1,2311488848.3785033,,
36 Crazyfists,Collisions and Castaways,2311288679.960746,,
Fit for a King,Dark Skies,2261887202.8561363,,
As I Lay Dying,Decas,2255692327.994298,,
All That Remains,A War You Cannot Win,2211251729.3269887,,
Darkest Hour,The Eternal Return,2190647281.5211186,,
