Artist,Album,Weight,Tags,Published
Los Cantantes,El Virao,47335535393.87755,,
Darkthrone & Mayhem,The True Legends In Black,4938915000,,
Utbyrd,Varskrik,1005661622.4489797,,
Kveldsmoerke,Øyen i Havet,858365475,,
Dřdsengel,Imperator,517104000,,
Dřdsengel,Mirium Occultum,484866000,,
Old Man’s Child,In Defiance of Existence,273120000,,
Old Man’s Child,The Pagan Prosperity,200646000.00000003,,
Fenriz' Red Planet;Nattefrost,Amazon Metal Sampler,197064000,,
Kveldsmoerke,Stillhet Og Tanker Renser Alt,181336064,"ambient, ambient black metal, Norwegian Black Metal, atmospheric black metal",
Old Man’s Child,Vermin,175224000,,
Los Cantantes,Virao,167382000,,
Tina T.,I Am,162393000,,
Nattkvad,Nattkvad,148827000,,
Uggligr,Uggligr,129444000,,
Old Man’s Child,Slaves of the World,118800000,,
Leona Šenková,Vzorná Holka,92480181.81818183,,
Fjosnisse,Unleashed Hymns,84162000,,
Old Man’s Child,Ill-Natured Spiritual Invasion,81312000,,
Old Man’s Child,Born Of The Flickering,73548000,,
MC Pepsi,Mleczna 2009 Soup Mixtape,50505000,,
Vvlad,tape I,50294400,,
Los Cantantes,Merengue en la Calle 8 '96,48792000,,
Old Man’s Child,Revelation 666: The Curse of Damnation,48132000,,
Jotnir,Vårt Rike,45177000,,
Los Cantantes,Merengue Animal,35880000,,
Viрr,Hedensk Skikk og Tro,35235000,,
Vvlad,Ingen Av Oss,33825600,,
"Hoest, Taake",Doedskvad,32436000,"black metal, Norwegian Black Metal",
Nachtleid,En Maaneskinnstragedie,29475000,,
"Hoest, Taake",Noregs Vaapen,24282000,,
Limuzin,Axadasha,21756000,,
Gnipahellir,Mist Caressed,19512888.888888888,,
Fenriz' Red Planet;Nattefrost,Enganggrill,17760000,,
Nuktrukt,MMXVI I,17462900,,
Los Cantantes,15 Merengues Pegaditos,15444000,,
Fenriz' Red Planet;Nattefrost,Engangsgrill,14976000,,
Coffin Of Lament,Gwrach-Y-Rhibyn,14256000,,
covetous,Return To Hythloth,12468750,,
Old Man’s Child,Revelation 666 - The Curse of Damnation,12306000,,
Los Cantantes,Lo Que Siguió!,12204000,,
Nilbong,Blud von Elderr Seth,11466000,,
Los Cantantes,El Venao,10287000,,
Los Cantantes,30 Merengues Pegaditos Disc 1,9207000,,
Sabazios,Wintermass,8669288.888888888,,
Nuktrukt,MMXVI III,7722000,,
Faun (nor),Into The Web Of Winter,7614000,,
The Thomas Eriksen Podcast,The Thomas Eriksen Podcast,7296000,,
Limuzin,Scrobbler - Bomber [Anaalizator ~ Dedismutelization V.A.],7080000,,
Leona Šenková,Euromania Fan Contest 10 - Orenburg,5939999.999999999,,
Old Man’s Child,In the Shades of Life,5904000.000000001,,
Dřdsengel,Dřdsengel MCD,4887000,,
Grimne,Analblasfemi,3870000,,"22 Dec 2009, 10:25"
Vvlad,VVLAD 'tape I',3726000,,
Máni,Eremittens klagesang,3564000,,
Leona Šenková,Cesko Slovenska Superstar,3537000,,
JCV,Zeug,3267000.0000000005,,
Kveldsmoerke,III: ...Av naturen,3184489.795918368,,
Hedenvandret,Første Del,3075692.3076923075,,
Los Cantantes,porlaputa presenta: iPhonda,2969999.9999999995,,
Los Cantantes,Merengue,2565000,,
Grimne,Grimne,2550000,,
Transyuggoth,Twothousandhatin´,2436750,,
Máni,Litani,2387000,,
Los Cantantes,LOS CANTANTES,2232000,,
Leona Šenková,Vzorna holka,1875000,,
Vvlad,vvlad,1822800,,
Transyuggoth,3rd: Deich,1748343.75,,
Los Cantantes,Новый год в РиБ,1596000,,
Ymse Massekreft,Vest-Norge,1572000,,
Los Cantantes,Lo Que Siguio!,1545535.9999999998,,
Escape From Hellview,Resident Evil : Apocalypse,1530000,,
Los Cantantes,title,1512000,,
Dřdsengel,Ecstatic Horror + Alongside Choronzon,1350000.0000000002,,
Whifflefit,From Space,1230000,,"21 Jan 2010, 17:13"
Dřdsengel,Dřdsengel,1152000,,
Svartblodgard,Nedenfor,1128000,,
The Childmolesters,Cocktales - Reh. Demo Traxxx 1992,1026000,,
Vvlad,S/T TAPE,999000,,
Gnipahellir,Mist Caressed (Demo),990000,,
Old Man’s Child,Born of the Flickering / In the Shades of Life EP,972000,,
Old Man’s Child,Sons of Satan Gather for Attack,960000,,
Sisa Sklovská,Kytice,960000,,
Hat (Nor),Vortex of Death,794999.9999999999,,
Ikhat,Old times before war,752999.9999999999,,
Los Cantantes,MERENGAZOS MP3,750000,,
Los Cantantes,Lo Esencial De Baila Sin Parar CD 3 (Meregnue),750000,,
Old Man’s Child,The Pagan Prosperity / Ill Natured Spiritual Invasion,612000,,
Kveldsmoerke,Carmina Tenebris,570000,,
Old Man’s Child,Devil's Path / In the Shades of Life,546000,,
Fjosnisse,Trolltind,519000,,
Ikhat,Dont make me sick,513000,,
Los Cantantes,Merengue Non Stop,480000,,
JCV,JCV,468000,,
Vvlad,Demo,450000,,
Blodstrid,Demo 2006,444000,,
Kveldsmoerke,Velkommen,420000,,
Ikhat,Sounds Of Nature,420000,,
Uruk-Hai [ Pre-Burzum ],Demo [ 1989 ],414000,,
Los Cantantes,Grandes Exitos,407999.99999999994,,
