Artist,Album,Weight,Tags,Published
Flёur,Волшебство,39408875010961.77,"ethereal, chamber pop, baroque pop, 2003, Dreamy",
Flёur,Почти живой,3023032689269.9995,,
Flёur,Пробуждение,2227016359540.816,"beautiful, 2012, cardiowave, Symphonic Rock, chamber pop",
Flёur,EVERYTHING IS OUT OF CONTROL,1438292756250,"female vocalists, fully streamable albums, electronic, Ukrainian, female vocalist",
Flёur,Штормовое предупреждение,915553419979.3389,"Symphonic Rock, art rock, Progressive Pop, chamber rock, art pop",
Flёur,Тысяча светлых ангелов (Часть 1),585880260000,,
Flёur,Два Облака,501650394000,,
Flёur,Тысяча светлых ангелов (Часть 2),436249866000,,
Flёur,Flёur,408936887887.5,,
Flёur,Сердце (Ремастер 2008),316758624000,,
Flёur,Почти живой (Ремастер 2008),297968823000,,
МРФ,Вальсирующие во тьме,210720312000,"female vocalists, chamber pop, ethereal, darkwave, dark cabaret",
Flёur,Live in Kiev,194605461000,,
Flёur,Флерография,190777014000,,
Flёur,Magic (French Remaster),149488800000,,
Flёur,Fleurография,132249864000,,
Flёur,Prikosnovenie (French Remaster),125618526000,,
Flёur,Siyanie (French Remaster),119908320000,,
Flёur,Выступление в клубе Апельсин,109084206000,,
Ольга Пулатова,Домашние Записи,92946518280,,
Алина Орлова,Дикая Собака Динго,79275030120,,
Амели на мели,собрание,77573057940,,
Flёur,'Эйфория' в программе 'Атмосфера',70080876000,,
Dust Heaven,Невидимки (Demo),63542926050,,
Flёur,Сия,58761945000,,
Flёur,Два облака (сингл),50610453000,,
Flёur,Âñ¸ âûøëî èç-ïîä êîíòðîëÿ,48789732000,,
Flёur,Magic,47638212610.650894,,
Dust Heaven,Тихие игры,44609176739.99999,alternative,
Flёur,Оля и Монстр,44013687000,,
Flёur,Будь моим смыслом,40918319400,,
Амели на мели,Наизусть,37231423199.99999,"4, 5",
Flёur,Тысяча светлых ангелов (CD1),33663264000,,"19 Sep 2018, 17:54"
Flёur,Проект Оля & Монстр,29678832000,,
Flёur,Broken Mirror,27390892416.000004,,
Алина Орлова,Laukinis Suo Dingo,27034171020,,
Аэроплан,Аэроплан,25808560691.358025,,
Flёur,Тысяча светлых ангелов (CD2),24937290000,,"19 Sep 2018, 17:55"
Легендарные Пластилиновые Ноги,Улыбка Бога,24697571506.40816,2012,
Flёur,Âîëøåáñòâî,23539589999.999996,,
Елена Войнаровская,Домашние записи,23368444800,,
Flёur,Unsorted,21740796000,,
Алина Орлова,"Концерт в клубе ""Зал ожидания""",21011427360,,
Flёur,Из программы Воздух на Нашем Радио,20991600000,,
Flёur,2008,20410635000,,
Dust Heaven,Невидимки,16119274218.75,"4, 5",
Flёur,Концерт в Одессе 18.05.03,15737994000,,
Flёur,Сердце (Ремастер),14962515000,,
Оля & Монстр,Оля & Монстр,14132991083.431953,cardiowave,
Flёur,Почти живой (Ремастер),13816935000,,
Flёur,Turn the Lights On,13001061812.2449,,
Flёur,Ñèÿíèå,11148192000,,
Dust Heaven,Dust Heaven,9485154991.34694,,
Flёur,Ïðèêîñíîâåíèå,9112830000,,
Flёur,Fleur,8265159000,,
Ольга Пулатова,Клуб Выход (Одесса),8073492840,,
Flёur,Неизданное,7592792602.040815,,
Flёur,Euphoria,7508994133.333333,,
Flёur,Тысяча светлых ангелов (Часть,7222914000,,
Flёur,Volshebstvo,6932899455.999999,,
Алина Орлова,88,6732011220,,
Легендарные Пластилиновые Ноги,Забывай меня,6548057414.888888,,
Flёur,Флёрография (сборник),6338787000,,
Легендарные Пластилиновые Ноги,Любовь побеждает ненависть,6335801400,,
Flёur,Сияниее,6250002000,,
Алина Орлова,"Концерт в клубе ""The PLACE""",5997577980,,
Оля и Монстр,Демо,5508795600,,
Flёur,Music,5236305000,,
Оля и Монстр,Оля и Монстр - Голос,5143824000,,
Flёur,Два облака (Single),5067192000,,
Flёur,Flёurография,4649148000,,
Алина Орлова,Mutabor,4623256680,,
Flёur,-9D>@8O,4097898000,,
Dust Heaven,Demo 2011,4023711360,,
Dust Heaven,Tihie Igri,3679211700,,
Алина Орлова,Belekokie,3513618000,,
Алина Орлова,YouTube Video,3196535400,,
Flёur,Минск 28.05.09,3085740000,,
Dust Heaven,Fright EP,3063272940,,
Flёur,Live: Дом Журналиста (Москва),3058716000.0000005,,
Flёur,Live(Podмосковье),2887164000,,
Елена Войнаровская,Ночь тиха,2870189400,,
Flёur,нет альбома,2737092000,,
Flёur,Ýéôîðèÿ,2544048000,,
М.Р.Ф.,2007,2457840000,,
Ольга Пулатова,Два облака (Single),2379847680,,
Flёur,Live @Б1,2274090000,,
Amurekimuri,Live @ Odessa State TV & Radio (Channel 38),2257302960,,
МА,К Себе,2081820510,,
Flёur,Дискография,1989181269.6,,
Flёur,Prikosnovénie,1978332000,,
Flёur,Âûøëî èç-ïîä êîíòðîëÿ,1956222000,,
Flёur,Òûñÿ÷à ñâåòëûõ àíãåëîâ,1811412000,,
Flёur,"Live @ (ЦДХ, 08.04.11)",1749810000,,
Алина Орлова,Live,1633167900,,
Dust Heaven,Demo,1564010070,,
Verba & Оля Пулатова,Внутренний Космос. Темная Сторона EP,1560682080,,
Dust Heaven,Let's Play This Part,1538371100,1 raz,
М.Р.Ф.,М.Р.Ф.,1513728000,,
Алина Орлова,Laukinis šuo dingo,1481977859.9999998,,
