Artist,Album,Weight,Tags,Published
Refused,The Shape of Punk to Come,2505162914610767,"hardcore, post-hardcore, albums I own, punk, favorite albums","06 Sep 2009, 18:37"
Converge,Jane Doe,2378320588298882.5,"metalcore, hardcore, mathcore, 2001, albums I own","02 Jul 2010, 14:59"
Comeback Kid,Wake The Dead,1202658641417138.8,"hardcore, melodic hardcore, albums I own, hardcore punk, 2005",
Hatebreed,Supremacy,1095418455364800,"hardcore, metalcore, albums I own, 2006, metal","19 Feb 2020, 23:14"
Hatebreed,The Rise Of Brutality,817183530470725,"hardcore, metalcore, 2003, metal, albums I own",
Every Time I Die,Gutter Phenomenon,806578763180681.8,"metalcore, hardcore, albums I own, 2005, post-hardcore","07 Dec 2020, 22:10"
Hatebreed,Perseverance,733874455217854.8,"hardcore, metalcore, Hatebreed, metal, 2002",
Converge,Axe to Fall,666390875187213.4,"metalcore, 2009, mathcore, hardcore, hardcore punk","02 Oct 2012, 21:57"
Norma Jean,Bless the Martyr and Kiss the Child,537800437423800,"hardcore, metalcore, mathcore, albums I own, chaotic hardcore","03 Jun 2009, 15:22"
Converge,You Fail Me,537057656710189.44,"hardcore, metalcore, mathcore, 2004, albums I own","02 Oct 2012, 21:53"
Every Time I Die,Hot Damn!,535256109480531.94,"metalcore, hardcore, albums I own, favorite albums, screamo",
Bad Brains,Bad Brains,527139923422992.9,"hardcore punk, punk, 1982, 80s, hardcore","22 Feb 2010, 18:22"
He Is Legend,I Am Hollywood,520917791117094.06,"hardcore, albums I own, 2004, Southern Rock, favorite albums","16 Oct 2008, 06:09"
Ignite,Our Darkest Days,504611828943685.7,"melodic hardcore, hardcore, albums I own, favorite albums, 2006",
Defeater,Empty Days & Sleepless Nights,472568712073392.9,"hardcore, melodic hardcore, post-hardcore, 2011, heartcore","21 Feb 2011, 14:56"
Converge,No Heroes,434890408369498.75,"metalcore, mathcore, hardcore, albums I own, 2006","02 Jul 2010, 14:47"
Comeback Kid,Broadcasting,412668010248760.3,"hardcore, melodic hardcore, hardcore punk, albums I own, 2007",
Have Heart,The Things We Carry,389260673885801.7,"hardcore, albums I own, punk, favorite albums, 2006",
Walls of Jericho,With Devils Amongst Us All,387732721905943.8,"hardcore, metalcore, albums I own, post-hardcore, 2006","28 Jan 2010, 19:46"
Comeback Kid,Turn It Around,370409350937872.2,"hardcore, melodic hardcore, hardcore punk, albums I own, punk",
Have Heart,Songs to Scream at the Sun,319714044166944,"hardcore, favorite albums, melodic hardcore, modern hardcore, punk","21 Sep 2011, 03:57"
