Artist,Album,Weight,Tags,Published
Fall River,Lights Out,37934572427.5,,
Cedron,Watching the Sun Turn Pitch Black,25534864373.333336,,
The Dead Wretched,Anchors Down,13731351983.999998,chaotic metalcore,
Cedron,Chased By Shades,13433688861.185184,,
Cedron,The City in Mourning,6399611783.95,,
Maria: Abort Chosen,Solid Loss,5720209740,,
IRONHIDE,Create/Collapse/Repeat,4482116730,,
Eyes Upon Separation,I Hope She's Having Nightmares,4331885677.2,,
Fall River,Chronicles,4187444352,,
Chronicles of Adam West,We Walk Unbalanced,4013620848,,
The Marriage,Vultures Be Their Kings,3494883840,,
Capistrano,Садистка,2851813125,,
Is to Feel,Llorona,2483728672,,
Surrounded By Teeth,Animals,2343693061.2244897,,
Born Under Saturn,Reflecting the Beautiful Design,1327706901.5625,,
Cedron,Valence,1277234400,,
Capistrano,"If There's Another Ice Age, We'll All Chill With the Wooly Mammoths",1125242066.6666667,,
Cedron,Home,951537560,,
Пространство Вариантов,Закрытый Космос,941846880,,
Maria: Abort Chosen,Taking Nails Out Of Myself,733204440,,
Maria: Abort Chosen,Taking Nails Out Of Myself Germinating With Lilies Of The Valley Everyday,730235493,,
Maria: Abort Chosen,EP,727092450,,
Orsus,Fobos,554867280,,
Orsus,Мертвые Сыновья,356466960,,
Cedron,Time Heal My Wounds,346478172,,
Rubbish Heap,Rubbish Heap,289721288.8888889,,
Q Devoiza,InQunabula,274350000,,
Five Minutes Alone,Искушение Дорис,245408400,,
The Brigade,Beyond Xmas Day,234309520.00000003,,
Drowned Sorrow,Fittings At The Coffin Shop,207792750,,
Cedron,Four steps from the edge,195426000,,
Пространство Вариантов,Самолёт,175219200,,
Maria: Abort Chosen,Taking Nails Out Of Myself EP,158746770,,
alexxmmt,"Anyways, Deathly Ways [EP]",150480000,,
Light is the Language,The Void Falls Silent,137035918.36734694,,
Capistrano,Her Mouth Tasted Like Vomit And I'm Still Trying To Figure Out Why,108480000,,
Пространство Вариантов,Осталось Лишь Придумать Зачем Я Это Сделал,105800760,,
The Brigade,Dead Man's Gold,93138000,,
Capistrano,"Looking Back On It, This Could Be The Best Decision I've Ever Made",93037500,,
Light porno light,Drawing Pictures Of Eras Sunsets / Light Porno Light - Split,84303000,,
Anima Nera,Terzo Incomodo,83767165.2892562,,
Cedron,We Curse the Day You Were F*****g Born,68875680,,
Scare,"congratulations, it's a hermaphrodite",53196000,,
searchingforchin,Context,48609000,,
The Brigade,She Wouldn´t Let Me Drown,48260100,,
Fall River,Masters of Horror,39560640,,
The Brigade,Last Laugh,38325000,,
Maria: Abort Chosen,Taking Nails Out Of Myself...Germinating with lilies of the valley everyday...EP,35804160,,
Eyes Upon Separation,"The Leaves Fall With Grace, the Leaves Fall With Sadness",34043969.52,,
Пространство Вариантов,Brutsound Compilation vol.5 Side A,33223320,,
Born Under Saturn,s/t 7 inch,31752000,,
Lostforgotten,Demo,30654000,,
ATHENS,The Morning Sacrament,30651956.25,,
Born Under Saturn,born under saturn and shora,27081000,,
Five Minutes Alone,Интерпретация Закона (Single),25975350,,
Born Under Saturn,Shora & Born Under Saturn [split 7''],25616250,,
Maria: Abort Chosen,Taking Nails Out Of Myself (EP),24603750,,
Anima Nera,Amantide,24242665.289256196,,
Cedron,the annual loss,23885400,,
ATHENS,Runway Home,23677500,,
Пространство Вариантов,Deadbeat Brutal Sound vol.4,20381400,,
Surrounded By Teeth,Surrounded By Teeth,18660000,,
Dead Letters,Sacrifice My Soul,18076500,,
The Brigade,The Dividing Line,16863644.444444444,,
Born Under Saturn,split w/ Shora,16544249.999999998,,
Maria: Abort Chosen,Best dress,15331680,,
ATHENS,The Philosophers,15077500,,
The Brigade,Lights,14760000,,
Debbie Does Malice,Virtue of the Vicious,14043870,,
Maria: Abort Chosen,Screaming Nation vol.1,13636080,,
Born Under Saturn,Born Under Saturn / Shora,13162500,,
Tommy The Warden,Carbonated Lungs and Kerosene Tongues,12834500.000000002,,
The Marriage,I Used to Think,12788160,,
The Gorgeous,Great Minds Single,12738000,,
The Brigade,USA-WODNB001 Vinyl,12420000,,
Rubbish Heap,self-titled (1999),10854000,,
Five Minutes Alone,SEQUENCE8,10787850.000000002,,
Fall River,Demo Tracks for Upcoming Full Length,10767749.999999998,,
searchingforchin,searchingforchin,10206000,,
The Brigade,The Brigade IVM Ep,9744000,,
ATHENS,Sometimes,9172800,,
Пространство Вариантов,Осталось лишь придумать зачем я это сделал (EP),8781240,,
The Hiatus Flux,_anecdote,8272487.573964498,,
Eyes Upon Separation,"The Leaves Fall With Grace, The Fall Leaves With Sadness",8191800.000000001,,
The Brigade,"Songs to Slay the Dragons, Vol. 2",7371000,,
Machine Arms,Machine Arms EP,7290000,,
Is to Feel,"Bending Halos, Dimming Lights",6835500,,
Пространство Вариантов,Закрытый космос (EP),6664320.000000001,,
Fall River,2448724,6623711.111111111,,
Screaming Nation,Screaming Nation vol.1,6612000,,
IRONHIDE,The Architect,6497400,,
IRONHIDE,Iron Effect,6470400,,
Thaddeus,Watching the World,6144000,,
Maria: Abort Chosen,Taking Nails Out Of Myself [EP],6121710,,
Raised Hide,Tour Split,5850000,,
Thaddeus,Ascent to Heaven,5580000,,
Пространство Вариантов,2010 - Закрытый Космос,5460000,,
IRONHIDE,The Trip,5460000,,
IRONHIDE,Ironhide: 5 Year Anniversary & 10k Follower,5401500,,
ATHENS,"Hang Tight Records Compilation, Vol. 1",5313000,,
