Artist,Album,Weight,Tags,Published
Bon Iver,"For Emma, Forever Ago",257818828918264900,"folk, indie, acoustic, singer-songwriter, 2008","17 Jul 2008, 06:42"
Mumford & Sons,Sigh No More,142370868345381000,"folk, albums I own, 2009, favourite albums, best of 2009","04 Jan 2010, 15:43"
Fleet Foxes,Fleet Foxes,80332278542379230,"folk, 2008, indie, albums I own, best of 2008","05 Feb 2009, 11:38"
The Lumineers,The Lumineers,29530148877282680,"2012, folk, albums I own, indie, indie folk",
Bon Iver,Bon Iver,29446474496465084,"2011, best of 2011, folk, albums I own, indie folk","23 May 2011, 08:38"
Beirut,Gulag Orkestar,29210070159695724,"folk, albums I own, 2006, indie, indie folk","19 Dec 2016, 15:53"
Ben Howard,Every Kingdom,25115909863285690,"folk, albums I own, singer-songwriter, acoustic, 2011","03 Nov 2012, 11:41"
Bob Dylan,Highway 61 Revisited,24821964535441004,"albums I own, folk, 60s, singer-songwriter, folk rock","05 Jul 2008, 17:44"
Bon Iver,Blood Bank,23896168454830650,"folk, 2009, indie, singer-songwriter, albums I own","21 Jun 2010, 00:21"
Nick Drake,Pink Moon,23158026123479576,"folk, singer-songwriter, acoustic, albums I own, 1972","12 Jan 2012, 12:02"
Iron & Wine,The Shepherd's Dog,22998651532718536,"folk, albums I own, 2007, indie, best of 2007","08 Feb 2009, 15:34"
Iron & Wine,Our Endless Numbered Days,21047012788708960,"folk, albums I own, indie, favorite albums, acoustic","10 Oct 2008, 01:09"
Fleet Foxes,Helplessness Blues,14983507592225888,"2011, folk, best of 2011, indie, indie folk","29 Apr 2011, 18:21"
Edward Sharpe & The Magnetic Zeros,Up From Below,14260352833306794,"folk, 2009, indie folk, indie, albums I own","07 Jan 2013, 08:05"
Beirut,The Flying Club Cup,14123774029584162,"2007, folk, indie folk, albums I own, indie","10 Apr 2009, 12:38"
Bob Dylan,Blood on the Tracks,12452375146443010,"folk, albums I own, 1975, favorite albums, 70s","05 Jul 2008, 17:50"
Joanna Newsom,Ys,11595441101488320,"folk, 2006, harp, singer-songwriter, indie","22 Jan 2010, 06:42"
Nick Drake,Five Leaves Left,10457802850928160,"folk, singer-songwriter, albums I own, acoustic, 1969","10 Jun 2009, 10:05"
Nick Drake,Bryter Layter,10297298889504810,"folk, singer-songwriter, albums I own, 70s, 1970","03 Jun 2009, 10:55"
The Head and the Heart,The Head and The Heart,10074285528159992,"folk, 2011, indie, indie folk, rock","24 Jun 2012, 00:18"
Birdy,Birdy,9289407600333952,"2011, british, folk, albums I own, indie","25 May 2013, 15:59"
Ray LaMontagne,Trouble,9099815821282450,"folk, singer-songwriter, favorite albums, albums I own, ray lamontagne","01 Mar 2009, 06:57"
Laura Marling,Alas I Cannot Swim,8939207081157666,"folk, 2008, best of 2008, Laura Marling, albums I own",
Bob Dylan,Bringing It All Back Home,8892480911400188,"folk, albums I own, 1965, folk rock, 60s","05 Jul 2008, 17:57"
Bob Dylan,Blonde on Blonde,8742387954030881,"albums I own, folk rock, favorite albums, 1966, folk","05 Jul 2008, 17:47"
Joni Mitchell,Blue,8359608433714247,"folk, singer-songwriter, 70s, albums I own, favourite albums","14 Sep 2008, 19:42"
Iron & Wine,The Creek Drank the Cradle,8114003167102314,"folk, indie, acoustic, singer-songwriter, albums I own","07 Jan 2013, 23:00"
Fleet Foxes,Sun Giant,8021490353224296,"2008, albums I own, folk, indie folk, subpop","14 Dec 2009, 18:39"
Mumford & Sons,Babel,7497621778859848,"2012, albums I own, folk, indie, british","18 Jul 2012, 22:16"
Joanna Newsom,The Milk-Eyed Mender,7191059975437433,"folk, singer-songwriter, favorite albums, 2004, favourite albums","22 Jan 2010, 06:30"
Bob Dylan,The Freewheelin' Bob Dylan,7086695552763539,"folk, 60s, albums I own, singer-songwriter, 1963","05 Jul 2008, 18:01"
Simon & Garfunkel,Bridge Over Troubled Water,6911793640360790,"albums I own, classic rock, singer-songwriter, 60s, folk","21 Nov 2009, 13:02"
Angus & Julia Stone,Down the Way,6799799421866575,"2010, folk, australian, acoustic, indie","09 Apr 2010, 08:03"
The Civil Wars,Barton Hollow,5979122777462083,"folk, singer-songwriter, indie folk, The Civil Wars, 2011","01 Mar 2011, 09:51"
Passenger,All the Little Lights,5587418034790947,"2012, albums I own, singer songwriter, Passenger, easy listening-d",
Bob Dylan,Desire,5563704699895336,"folk rock, 70s, albums I own, folk, 1976","05 Jul 2008, 18:14"
Laura Marling,I Speak Because I Can,5517670205509228,"2010, folk, female vocalists, british, 21st century folk","27 Mar 2010, 19:23"
Noah and the Whale,"Peaceful, The World Lays Me Down",5077563939572390,"folk, indie, albums I own, 2008, pop",
Ray LaMontagne,Gossip In The Grain,4798102079616130,"folk, folk rock, alternative, male vocalists, soul","05 Dec 2008, 14:29"
Vance Joy,Riptide,4785447426003000,kjhkjhkjhkjh,
Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,4655962578991286,"2013, folk, best of 2009, indie, folk rock",
Ray LaMontagne,Till The Sun Turns Black,4566185098037052,"folk, ray lamontagne, singer-songwriter, albums I own, 2006","25 Jul 2008, 18:51"
Beirut,The Rip Tide,4238121617868356,"2011, indie, albums I own, folk, best of 2011",
Bob Dylan,The Times They Are A-Changin',4113814702138828.5,"albums I own, folk, 1964, 60s, folk rock","12 Jun 2009, 21:57"
The Weepies,Say I Am You,4010967684036922.5,"folk, singer-songwriter, Mellow, acoustic, favourite albums",
