Artist,Album,Weight,Tags,Published
Abominable Putridity,In the End of Human Existence,2469636292.4579263,"Brutal Death Metal, 2007, Slamming Brutal Death Metal, just for fun, slam death metal","09 Sep 2017, 08:11"
Benighted,Asylum Cave,1889658641.6056416,"Brutal Death Metal, death metal, deathgrind, grindcore, Technical Death Metal",
Abominable Putridity,The Anomalies of Artificial Origin,1840305577.4416063,"Brutal Death Metal, death metal, Slamming Brutal Death Metal, 2012, grindcore","09 Sep 2017, 08:10"
Disfiguring the Goddess,Disfiguring The Goddess,1784029748.674355,"deathcore, Brutal Death Metal, metal, death metal, Slamming Brutal Death Metal",
Devourment,Butcher the Weak,1515913539.9665751,"Brutal Death Metal, death metal, Slamming Brutal Death Metal, slam death metal, 2005",
Benighted,Necrobreed,1134318659.9716446,"deathgrind, grindcore, Brutal Death Metal, death metal, Technical Death Metal",
Defeated Sanity,Chapters Of Repugnance,998366163.9437479,"death metal, Brutal Death Metal, metal, 2010, Technical Death Metal",
Devourment,Unleash the Carnivore,997799558.3599187,"Brutal Death Metal, death metal, Slamming Brutal Death Metal, grindcore, goregrind",
Cerebral Bore,Maniacal Miscreation,991346559.5070161,"Brutal Death Metal, death metal, grindcore, 2011, Slamming Brutal Death Metal","24 Oct 2012, 10:42"
Benighted,Identisick,985397864.9257967,"Brutal Death Metal, grindcore, death metal, 2006, Progressive metal",
Guttural Secrete,Reek of Pubescent Despoilment,947577885.571073,"Brutal Death Metal, 2006, death metal, Slamming Brutal Death Metal, USA",
Hour of Penance,Paradogma,932615313.413237,"death metal, Brutal Death Metal, Technical Death Metal, Masterpiece, Technical Brutal Death Metal","07 Apr 2010, 13:02"
Benighted,Icon,919482977.8833317,"death metal, Brutal Death Metal, grindcore, Technical Death Metal, deathgrind",
Devourment,1.3.8.,886929255.5782748,"Brutal Death Metal, albums I own, death metal, hot, 2000","25 Mar 2017, 11:36"
Ingested,Surpassing the Boundaries of Human Suffering,833059866.0074687,"Brutal Death Metal, death metal, brutal deathcore, favorite albums, Gore",
Katalepsy,Autopsychosis,827766369.2750614,"death metal, Brutal Death Metal, Technical Death Metal, Slamming Brutal Death Metal, 2013","27 Feb 2018, 20:32"
Defeated Sanity,Psalms Of The Moribund,802556165.0164207,"Brutal Death Metal, Technical Death Metal, Technical Brutal Death Metal, death metal, death",
Pathology,Awaken To The Suffering,773984936.8032658,"2011, Brutal Death Metal, political, death metal, goregrind",
Hour of Penance,The Vile Conception,754356779.368639,"death metal, Technical Death Metal, Brutal Death Metal, 2008, Brutal Technical Death Metal",
