Artist,Album,Weight,Tags,Published
Guns N' Roses,Appetite for Destruction,123556068834445000,"hard rock, albums I own, rock, 80s, classic rock","08 Jul 2008, 13:07"
AC/DC,Back in Black,83358018392016590,"hard rock, albums I own, rock, classic rock, 80s","24 Sep 2008, 02:07"
Guns N' Roses,Use Your Illusion I,32586019639133156,"hard rock, albums I own, rock, classic rock, 90s","05 Aug 2008, 19:35"
Guns N' Roses,Use Your Illusion II,32520355704689780,"hard rock, albums I own, rock, 90s, Guns N Roses","05 Aug 2008, 19:32"
AC/DC,Highway to Hell,32217428347596000,"hard rock, albums I own, classic rock, rock, 70s","24 Sep 2008, 02:04"
Guns N' Roses,Greatest Hits,22864064527670810,"albums I own, hard rock, rock, 80s, metal","07 Jan 2013, 20:08"
Stone Sour,Stone Sour,17643683549793072,"hard rock, metal, alternative metal, albums I own, Stone Sour",
Stone Sour,Come What(ever) May,16110994366356068,"hard rock, albums I own, alternative metal, metal, rock",
Them Crooked Vultures,Them Crooked Vultures,14842919890750530,"albums I own, rock, hard rock, 2009, Stoner Rock","04 Nov 2009, 14:46"
AC/DC,High Voltage,13581041861010350,"hard rock, albums I own, rock, classic rock, 70s","24 Sep 2008, 01:53"
Velvet Revolver,Contraband,12188011207689776,"hard rock, albums I own, rock, Velvet Revolver, alternative rock","27 Jul 2009, 19:15"
Godsmack,Faceless,11581797448333000,"albums I own, hard rock, alternative metal, metal, rock","04 Sep 2008, 01:43"
AC/DC,The Razors Edge,9018486611276794,"hard rock, albums I own, classic rock, heavy metal, rock","23 Oct 2008, 02:47"
Def Leppard,Hysteria,8588954070795375,"hard rock, 80s, rock, albums I own, 1987","26 Apr 2009, 10:41"
Van Halen,1984,8307678478593164,"hard rock, 80s, rock, van halen, 1984","30 Dec 2008, 12:35"
Slash,Slash,8066225075745000,"hard rock, rock, Slash, 2010, Rock and Roll","26 Jun 2010, 16:45"
Godsmack,Awake,7504779980433058,"hard rock, albums I own, godsmack, metal, heavy metal","04 Sep 2008, 00:49"
Guns N' Roses,Chinese Democracy,6894968809477812,"hard rock, albums I own, rock, 2008, best of 2008","26 Nov 2008, 14:29"
Deep Purple,Machine Head,6624685896228454,"hard rock, classic rock, 70s, albums I own, 1972","23 Dec 2008, 17:59"
