Artist,Album,Weight,Tags,Published
Illidiance,Damage Theory,2642285275212.071,"metal, industrial metal, Cyber Metal, Symphonic Black Metal","09 Dec 2010, 23:33"
...and Oceans,Cypher,1021391270059.1716,"industrial black metal, industrial metal, Post-Black Metal, black metal, albums I own",
...and Oceans,A.m.g.o.d.,942859967094.4445,"industrial black metal, industrial metal, black metal, metal, cyber black metal",
...and Oceans,"The Symmetry Of I, The Circle Of O",369878670000,"Symphonic Black Metal, black metal, albums I own, Finnish Black Metal, metal",
Obsydians,Ascension,187091100000,,
Illidiance,The Iconoclast,170322075000,,"10 Jun 2019, 17:43"
...and Oceans,Am God,158833635000,"albums I own, industrial black metal, black metal, Cyber Metal",
Illidiance,Damage & Deform,136635251112.5,,
Illidiance,Neon Rebels,81160625700,"Cyber Metal, metal, industrial black metal",
Illidiance,Synthetic Breed,67048946559.99999,"metal, Cyber Metal, industrial black metal",
Illidiance,Fuel For My Hate,66189078000,,"03 Feb 2019, 03:28"
Illidiance,Insane Mytheries To Demise,60096419288.88889,,
Seecrees,Genesis,52401773812.5,"industrial metal, Cyber Metal",
Illidiance,Modern Iconoclast,39576931200,"metal, Cyber Metal, electronic metal, modern metal, Illidiance",
Obsydians,Axiom Fallacy,27389988000,,
Illidiance,Last Dawn,26777376000,,"16 May 2018, 23:20"
Illidiance,Deformity - EP,22887649952,,
Illidiance,Open Your Eyes,17146505600,,
Obsydians,Psychodynamics,17024952000,,
Illidiance,Withering Razors,13140416625,,
Illidiance,Breaking The Habit,11681312000,modernmetal metal rock,
...and Oceans,The Dissolution of Mind and Matter,10949406480,,
Illidiance,Shockwave,9044275200,,
Illidiance,CyberGore Generation (Promo EP),8742384000,,
Illidiance,When There Is A Thunder,8288691200,,"15 May 2018, 05:38"
Illidiance,Deformity,7789451280,"industrial metal, Cyber Metal, gargantuan deterioration of songwriting brilliance",
Illidiance,Out Of Coverage,6805218000,,
Assimilate,EP,5904498075,,
Illidiance,NEXAEON PROMO,5739552000,,
Obsydians,False Light Constructs,5351070000,,
Deadheaven,Антиреальность,4875718217.751479,,
Illidiance,Deformity (EP),4498800000,,
...and Oceans,Vigilance and Atrophy,3370394160,,
...and Oceans,The Symmetry Of I The Circle Of O,2112260204.0625,,
...and Oceans,Allotropic / Metamorphic Genesis Of Dimorphism,1947310500,,
Illidiance,Damage and Deform,1483404000,,
...and Oceans,Five of Swords,1440419200,,
Assimilate,Apex Genesis,1266913619.7530863,,
Sphere (NO),Primordial (Remastered Edition),1240655616,,
Ghost Sequence,Traversing the Mechtropolis,860310000,,
Illidiance,"EP ""DEFORMITY""",823365000,,
Seiber,Paranormal Fables,809205223.6686391,,
Seecrees,Ложь,753786000,,
...and Oceans,The Symmetry of I / The Circle of O,723291300,,
...and Oceans,A.M. G.O.D.: Allotropic/Metamorphic Genesis of Dismorphism,690343050,,
Illidiance,Когда Грянет Гром,515840000,,
Omniavatar,United Earth,404939595.2662722,,"31 Oct 2010, 11:18"
...and Oceans,The Symmetry of I  the Circle of O,403805250,,
Illidiance,Последний Рассвет,361800000,,
Illidiance,Neon Rebels SIngle 2012,304587000,,
Seecrees,Lie,303873600,,
Synquies,Phase,272798400,,
Synquies,Homeostasis,259296000,,
...and Oceans,"The Symmetry Of I, The Circle",231519750,,
Deadheaven,Новый мир,224919000,,
...and Oceans,Dynamic Gallery Of Thoughts-The Symmetry Of I,214617600,,
Synquies,[THE CORE],211653000,"ambient, russian, Progressive, Power metal, Cyber Metal",
Johan Jello & MeatShredder,Shredding Meatheads,180297000.00000003,"metal, hardcore, industrial rock, cyberpunk, industrial metal",
Illidiance,Shockwave (Single),161046000,,
...and Oceans,Allotropic Metamorphic Genesis Of Dismorphism (A.M.G.O.D.),153472800,,
Obsydians,Ascension (feat. Steve Fari),143850000,,
Xalynar,Inner Circle,138384711.11111113,Cyber Metal,
Assimilate,ASSIMILATE,119592000,,
Deadheaven,Продай свою душу,108936000,,
...and Oceans,Cypher: Insect Angels And Devil Worms,79898400,,
Illidiance,Damage Theory Chip Russia,79632000,,
>strigoii_mortii<,Art of Neural Mutilation,73080000,,
Illidiance,CyberGore Generation,72820160.00000001,,
Flash Terrorist,Body Fusion Limit,71061120,,
