Artist,Album,Weight,Tags,Published
Aion May,Кровью Омытые,30559662000,2011,
z dupy,Dupstepy Akermańskie,14894187200,,
Aion May,Быстрее Пули,1831872000,2014,
September Sky,The Dying Season,1591228316.6666667,,
September Sky,Letter to Fear,632218888.888889,,
September Sky,Bright Sides To Dark Days,549416388.888889,,
AIM FOR THE DAY,Bloodcry,515055750,,
Torn In Two,Soli Deo Gloria,486358342.0118343,,
Retrieve,Convicções,426313934.6938776,,
A Sight to See,The Arrival - EP,338969568,,
Iron Sharpens Iron,Beware The Wolves - EP,277356200,,
Startled by Silence,The EP,266902037.5,,
Aion May,Êðîâüþ Îìûòûå,230904000,,
Brain[FAQ],Nutze die Zeit,222144000,,
Iron Sharpens Iron,O Come O Come Emmanuel,191889000,,
Startled by Silence,As Blood Shows Love,149126250,,
Mailman,Elder - EP,148825600,,
Face The Throne,Ephemera,127738786.00000001,,
End of Destiny,The Thoughtless Existence,100947798,,
Mroczna Masa,Krwawy Chuj! [Z Zembamy],98784000,,
Man of Sorrows,Man Of Sorrows,90034090.90909092,,
Mailman,Noise @ 44.1kHz,84042000,,
Caftor,Aqui jaz meu eu,68991000,,
Reapers are the angels,Songs to Slay the Dragons To,65274000,,
They Charge Like Warriors,They Charge Like Warriors - EP,59287500,,
We Are Victory,Sirens,57617175,,
AIM FOR THE DAY,Self Titled EP,53703000,,
Catrabbits,Särkynyt Elämä,47556250.00000001,,
With Blood Comes Beauty,The Red Letter Romance,44884000.00000001,,
Torn In Two,Identity Crisis,44136840,,
They Charge Like Warriors,Harvested,40283755.10204082,,
Edge Of Mortality,World Hate,36019896,,
Death With Dignity,Alpha,35919000,,
Catrabbits,Loppuun asti,28786153.846153844,,
Not Without Aim,2011 EP,28710000,,
SakeRed,Burn the Flesh to Restore the Spirit,25250750.000000004,,
We Are Victory,Signals,21306546.74556213,,
Iron Sharpens Iron,Your Blood,21243600,,
At Peace While Burning,Self-Titled,20328000,,
Catrabbits,Mistä löydät?,19344000,,
Aion May,В оковах,19323000,,
Iron Sharpens Iron,Justice,18727200,,
A Sight to See,Unveiled - EP,17757792,,
AIM FOR THE DAY,Aim For The Day EP,17712000,,
They Charge Like Warriors,Still Searching,17100000,,
Aion May,Music of the Heart,15309000,,
Protest for Pluto,Call Before You Dig,14134933.333333332,,
Aion May,Áûñòðåå Ïóëè,13380000,,
Creating Constellations,Valacirca - EP,11679000,,
Brain[FAQ],brainstorming,9757125,,
September Sky,Bright Sides To Dark Days (Remastered),9494116.666666668,,
At Mournings End,At Mournings End,9228870.000000002,,
Torn In Two,Now The Tables Have Turned,9204000,,
Creating Constellations,Valacirca,9161666.666666666,,
Mailman,Ellipsis III: Tunguska.Shaman.Vimana. Vol.3,8487000,,
Five Year Winter,Magic Killer,7640250,,
We Are Victory,Words Won't Define,7605000,,
Five Year Winter,God's Last Gift EP,7215744,,
Ephesus,The Devil's In Our Ears,7092000,,
Iron Sharpens Iron,Beware The Wolves,6426000,,
Though He Slay Me,"Your Music Is Murder, Revival At Hand",6404199.999999999,,
Grace for the Fallen,Field Of Blood,6333862.5,,
Blind kids see ghosts,Demo 2008,6210000,,
Mroczna Masa,Untitled Album,5661000,,
Blind kids see ghosts,Demo,5292000,,
Только Последний День,Крик в Пустоту (Single),4830000,"alternative, Nu Metal, Christian Metalcore",
Ephesus,To speak of city lights and skyscrapers,4824000,,
Our Living Memory,IVM/HXC Ministries Compilation,4650000,,
We Are Victory,The Light to Endure,4564591.8367346935,,
At Peace While Burning,Victory In Christ: A 316 Records Compilation,4500000,,
Torn In Two,No Turning Back,4147800,,
A Sight to See,The Arrival,4104000,,
Five Year Winter,Five Year Winter,3905955.5555555555,,
Not Without Aim,IVM/HXC Ministries Compilation,3900000,,
Reapers are the angels,EP,3792000,,
September Sky,The Half Step,3624000,,
A Sight to See,Rebel,3590400,,
Aion May,В оковах (single),3540000,,
Catrabbits,Mistä Löydät? EP,3345000,,
At Peace While Burning,Rerecordings,3263999.9999999995,,
Creating Constellations,Move The Mountains,3240000,,
until eternity,Demo 08,3240000,,
Aion May,music,3003000,,
Iron Sharpens Iron,Only the Blind,2943851.8518518517,,
The Last Redeemed,Revelations,2943000,,
Torn In Two,Devil Inside,2721600,,
A Sight to See,Lifeless Eyes,2640000,,
Death With Dignity,Alpha - [EP],2640000,,
Iron Sharpens Iron,Have Yourself a Merry Little Christmas,2578800,,
Reapers are the angels,Reapers Are The Angels - EP,2367000,,
Nick Fondles a Bear and Regrets Tit,Bearly Maid Tit,2340000,"music for the future, essential soundcore, subtransitional megapop","22 Jan 2014, 20:40"
Aion May,Неизвест. альбом,2322000,,
Iron Sharpens Iron,Death Is Not The End,2265037.5,,
We Are Victory,Endgame,2178900,,
Innocent Bloodshed,Via Dolorosa,2160000,,
Aion May,Aion May,1998000,,
Aion May,Ęđîâüţ Îěűňűĺ,1911000,,
A Sight to See,The Arrival EP,1748123.9999999998,,
Five Year Winter,Barbarian,1746000,,
Man of Sorrows,Bruce Dickinson,1716000,,
