Artist,Album,Weight,Tags,Published
Teleport,The Expansion,28144182266.666664,"Progressive metal, thrash metal, death metal, Technical Death Metal, Technical Thrash Metal",
Tidal Wave,Robbero Bobbero & Thorsakir,19077385600,,
Tidal Wave,Blueberry Muffin,6081083853.061225,,
Teleport,Vaapad,3873450000,,
Punisher,Punisher EP,2319450000,,
Terrahsphere,Third in Order of the Sun,2115539442.1875,,
Food Emperor,Bo dobre,1501113600,,
Xenophile,Systematic Enslavement,1142989904,,
Skeptic Sense,Presence of Mind,1119529687.5,,
Punisher,The Punisher,947373000,,
Punisher,www.rappers.in,671580000,,
Punisher,Soundtrack,649509000,,
Cryptosis,Prospect of Immortality,432564000,,
Tidal Wave,End of the Line,373632000,,
Testimonia,Testimonia,327375675,,
Punisher,The Legacy: The Best Of Big Pun,307020000,,
Teleport,Ascendance,289349631.99999994,,
Flaming Anger,Biosphere II,266524576.85950413,,
Teleport,Bad for Business,257291625,,
Elyrean,Blacken the Sun,251805779.59183672,,
Under The Abyss,A Future to Behold,240159816,,
W.M.D.,WMD,235290000,,
Punisher,Disillusioned,235215288.00000003,,
Punisher,PUNSEASON Mixtape,227136000,,
Scythian Fate,Matrimony In Madness,227083884.29752067,,
C.H.R.Y.S.E.I.S.,Tribute to Focus,184230000,,
Cryptosis,Decypher,183540000,,
Obsequy,Thoughtcrime,181950999.99999997,,
A Taste of Fear,God's Design,181818000,,
Punisher,Punisher,175122000,,
Teleport,Maukliva,170812720,"Belarusian, belarusian postrock psychedelic",
Under The Abyss,A Wavering Path,154081520.66115704,,
Terrahsphere,Third In Order From The Sun,140205000,,
Gashead,Knuckles Avec Sombreros,86520052.89256199,,
Cyanide Smile,Manifesto,85176975,,
Gashead,Down And Out - The Sad Soul Of The Black South,78003000,,
Altered Moves Two,Shifter of Minds,72627750,,
Droys,And If,71022000,,
Teleport,Padvojnasć,68900932.23140498,,
Lob Of Lemmings,Just Human,62680813.01775148,,
Teleport,Galactic Usurper,60943500,"thrash metal, slovenian, progressive thrash metal, Technical Thrash Metal",
Tidal Wave,Tidal Wave,58266684,,
Punisher,Battle of Grace,58080000,,
Verwaint,It Now Remains For Us To Explain,57130425,,
Aspid (Аспид),Extravasion,55692000,,
Punisher,My Heart Will Go On,51225000,,
Cyberhed,Face It,44328403.125,,
Teleport,Ascendance EP,39216000,,
Gashead,The Isolationist,33391022.222222224,,
SSA,Deal With It,33264000,"Technical Thrash Metal, thrash metal",
Assalant,The Damage Is Done,31900000,,
SSA,split AC4 - SSA,31239000,,
Punisher,Funkmaster Flex Presents The Mix Tape Vol. 1,30480000,,
Overtoun,Centuries of Lies,30104629.629629623,,
Besegra,Infortunium,29611833.333333332,,
Teleport,Dimension,26100000,,
Xenophile,Wings of Death,25737000,,
Flaming Anger,Fall of Pnom Penh Demo,24683999.999999996,,
Tidal Wave,Sink or Swim,23562000,,
CH-B,Independence: Reappraisal,22200000,,
Tidal Wave,1992,20532000,,
Tidal Wave,Poison of Sorrow,18147000,,
Food Emperor,Mangiare è Un'Evoluzione,18144000,,
The Death Season,Ciano,15985200,,
Blind Rage,Blueprints To Maddness,15330000,,
Droys,And If...,14470587,,
Scythian Fate,Drakaena Scythia EP,13783532,,
Tidal Wave,Forest City,13152711.11111111,,
Risabov,Rise,12872706.122448977,,
Calipash,Demo,11807250,,
Gashead,Landspeedrecord,11342448,,
Master Damned,So Blind,11247061.224489795,,
Teleport,Teleport,11124225,,
Punisher,America's Best DJ Promo,10404000,,
Flaming Anger,Humaniced demo,10008000,,
Nigel Foxxe Inc.,War Of The Gods,9708734.693877552,,
Руины-с66,Изломдушипостроитьсчастье?,9333000,,
Punisher,Agathocles/Punisher,9213000,,
Tidal Wave,Tidalwave,9089500,,
Unleashing Vengeance,Exploding Metal,8550000,,
Aspid (Аспид),Extravasation (Кровоизлияние),8460000,,
Droys,Experience,7920000,,
Flaming Anger,Humaniced,6496943.75,,
Teleport,Lost In Space,6021000,,"12 Dec 2012, 16:53"
Terrahsphere,Third In The Order Of The Sun,5778000.000000001,,
Crimson Caliber,Manufactured Genocide,5725211.111111111,,
Ruins-c66,Izlomdushipostroit'schast'e,5708999.999999999,,
Flaming Anger,Fall of Pnom Penh,4455500,,
Xenophile,True Directions,4236400,,
SSA,SSA - Unknown,4236000,,
Skeptic Sense,Mind Versus Soul,4230000,"thrash metal, Technical Thrash Metal",
C.H.R.Y.S.E.I.S.,Presence Of The Past,4116000,,
Tidal Wave,Regrets,3900000,,
Skeptic Sense,Mind Versus Soul: The Anthology,3877671.875,"thrash metal, progressive thrash metal, Technical Thrash Metal",
Teleport,The Expansion - Single,3873333.333333333,,
Punisher,Punisher: War Zone,3816000,,
Punisher,Kybalion,3666000,,
Despair (Ger),History of Hate,3618000,,
Punisher,1994 - Agathocles & Punisher,3588000,,
Crimson Caliber,Red Dawn Rising,3349500,,
