Artist,Album,Weight,Tags,Published
samhara,Marra Cash,39134108200,,
samhara,Trippin,13708360800,,
Himiltungl,Svart Ravin,4683987000,,
Nattas,Inde Deus Abest,1964936033.0578513,,
Pyr,Control,1958104575,,
Begrafven,Dödsriket,1909396314.0495868,,
samhara,Aquela Paz,1475352000,,
samhara,Just As You Are,1187796000,,
Fördärv,Between The Eternities,1125752021.3333333,,
Demonomantic,Grail of Deformed Evilness,789782400,,
samhara,Hey Menina,577824000,,
samhara,Deathkult Sutra,470362100,,
Demonomantic,Blessed in Eternal Cruelty,442680000,,
Total Inferno,Return of Evil Chaos,311688000,,
Ljuset,Parzifal,305835264,,
samhara,Pick Flowers,260496000,,
Likfärd,Demo,244608000,,
Nahvas,Hljóðupptaka,229183500,,
samhara,Mood,219414000,,
Bergatagen,Bärsärkatoner,188176514.0625,,
Like Fire,Into Northern Hellfire,184704000,,
Begrafven,Begrafven,156103200,,
Afriqve,Ashes of a dream,139865906.25,,
Himiltungl,Öden,138545325.44378698,,
Afriqve,Afriqve,89414032.65306123,,
Likfärd,Likfärd,82110000,,
Jaertecken,Jaertecken,78246000,,
Purgamentum,Aschewelt,73295020.40816326,,
Deceptis,La fin absolue,62708571.42857143,"black metal, depressive black metal, swedish black metal",
samhara,Hey Menina (Kohen Remix),60710400,,
Necromanser,Don't Believe In God,59709000,,
Drĺpsnatt,Hymner Till Undergĺngen,45900000,,
Necromorbus,Awaiting the Arrival,43092000,,
Krääk,Misanthropic Hippies,34578285.71428571,,
Fördärv,The Echo Of Emptiness,32583936,,
Nattetid,Demo,31644000,,
samhara,Emotional Party (feat. Sam hara),29151000,,
Ljuset,Chakravartin,28090800,,
Änterbila,Demo 2020,25912656.000000004,,
necrocunt,Black Lust,22125000.000000004,,
samhara,Vai Marlução,20196000,,
Necroticus,A View over a Dead Land,19812000,,
Svarteld,Nederlag För Korset,19152000,,
Mцrk Gryning,Demo 1994,18375000,,
Nahvas,Svensk Black Metal,15869700,,
Ancient Records,Ancient Records - Demo-Compilation Pt.II,15288000,,
Necrosavant,Aniara MMXIV,14175000,,
Nattas,Domino,11948632,,
Bosses Lingon,Dystopi,10341000,,
Dawn of Apocalypse,Follow the Black Path,8207260.000000001,,
samhara,Mood (Windy City Classics Remix),7020000,,
Nattas,At Ease with the Beast,6953333.333333333,,
Commodore Azalea,somethinghappy,6720000,,
Nahvas,Nahvas - V,6201000,,
Ancient Records,Demo Compilation Part. II,6072000.000000001,,
Drĺpsnatt,I Denna Skog,5697000,,
samhara,Tarde Demais,4872000,,
Ancient Records,Demo-Compilation Pt.II,4590000,,
Likfärd,Ætergap Productions MMXI,4536000,,
Total Inferno,Soulless Storm,4439933.333333333,,
Svartsekt,Hail Damnation,4433471.999999999,,
NeMura,Heathen,4356000,,
Himiltungl,Vinterns kväde,4297600,,
Ringhorne,En stig fördömd,4083280.0000000005,,
wulafiR,I,3162000.0000000005,,
Anhedonic,Metanoia,3009000,,
Never Say Die (SWE),Never Say Die,2880000,,
Commodore Azalea,Postponed,2538000,,
Mцrk Gryning,EvIL Ultimate Metal Covers #70,2394000,,
Necroticus,A Single Night of Immortality,2295000,,
Crows Over Brávellir,Spells Of The Dead / Into Kingly Death,2256000,,
Pest (Sweden),Blasphemy Is My Throne,2160000,,
Mцrk Gryning,Maelstrom Chaos,2079000,,
Mцrk Gryning,EvIL Ultimate Metal Covers #56,2040000,,
Mцrk Gryning,Pieces of Primal Expressionism,1872000,,
Total Inferno,Critical Mass Volume 2,1827000,,
Himiltungl,Underjorden,1737000,,
Mцrk Gryning,Tusen еr har gеtt...,1704000,,
Vithatten,Dont burn the Witch,1413163.2653061224,,
Purgamentum,Liket lever,1320000,,
Frostborg,For Those Who Believe in the Hammer,1296000,,
Purgamentum,deathenchanté,1215000,,
Nattas,Sweden Rock Magazine Vol 55,1176000,,
Pest (Sweden),In Total Contempt,1056000,,
Drĺpsnatt,Skelepht,1005000,,
Mцrk Gryning,Tusen еr har gеtt....,918000,,
Mцrk Gryning,Hinsides Vrede,888000,,
Mцrk Gryning,Tusen Ar Har Gatt...,792000,,
Total Inferno,Soulles Storm,768000,,
Ancient Records,Ancient Records Demo Compilation Part.1,750000,,
Morhaslasck,Omgheh,720000,,
Nahvas,Dark Desire,708000,,
Mцrk Gryning,Return Fire,689999.9999999999,,
Anhedonic,Common Placed Disease,630000,,
Skrotum,Prognostication of Ragnarök,621000,,
Skrotum,Electro Grind Gore (Compilation),600000,,
Peanut Butter and Jelly,BlackBerry Recording Sessions,555000,,
Nattas,Dan & Trulle's Playlist Of The Month November,540000,,
Bosses Lingon,Spawn Of The Sun,534000,,
Skrotum,Electro Grind Gore,528000,,
