Artist,Album,Weight,Tags,Published
Metallica,Death Magnetic,72125632647.73654,,
Metallica,Master of Puppets,53062775495.9939,,
Metallica,Ride the Lightning,46481639562.858345,,
Pantera,Cowboys From Hell,37234952673.68315,,
Metallica,Kill 'Em All,35399376275.16176,,
Metallica,Metallica,34271231710.74792,,
Metallica,...and Justice for All,32579961273.56846,,
Megadeth,Rust In Peace,30754848590.045853,,
Slayer,Reign in Blood,29417783762.137093,,
Pantera,Vulgar Display of Power,26912710546.33621,,
Slayer,God Hates Us All,20528687397.070023,,
Megadeth,Endgame,19214166074.73812,,
Machine Head,The Blackening,18630513869.947014,,
Pantera,Far Beyond Driven,17439015687.958073,,
Slayer,Seasons in the Abyss,17006976096.94119,,
Megadeth,Countdown To Extinction,16096163488.051971,,
Slayer,World Painted Blood,16030975680.128347,,
Metallica,Garage Inc.,15015694212.39286,,
Metallica,Black Album,14224428986.503214,,
Slayer,South of Heaven,12707303038.724794,,
Slayer,Christ Illusion,12494709441.24296,,
Pantera,The Great Southern Trendkill,12302654989.51711,,
Kreator,1985-1992 Past Life Trauma,11983960292.64007,,
Megadeth,United Abominations,11936194413.911966,,
Metallica,S&M,10678671042.70174,,
Metallica,S&M2,10678671042.70174,,
Slayer,Show No Mercy,10621212512.35433,,
Megadeth,Youthanasia,10531771623.076273,,
Metallica,Reload,10230692508.837238,,
Municipal Waste,The Art of Partying,10123933515.136795,,
Metallica,Load,9499435817.579758,,
Metallica,St. Anger,9480939036.903622,,
Kreator,Hordes of Chaos,9122813426.682816,,
Machine Head,Unto the Locust,8701570894.58374,,
Megadeth,The System Has Failed,8688696987.225359,,
Megadeth,Greatest Hits: Back to the Start,8279780290.088508,,
Megadeth,TH1RT3EN,8057383719.811021,,
Sepultura,Roots,8055876329.385516,,
Municipal Waste,Hazardous Mutation,8039124123.327579,,
Soulfly,Dark Ages,7433405077.829501,,
Sepultura,Arise,6889797588.40363,,
Cavalera Conspiracy,Inflikted,6789540997.959711,,
Sepultura,Chaos A.D.,6774711087.693233,,
Machine Head,Burn My Eyes,6407485733.905359,,
Kreator,Enemy of God,6379884585.789323,,
Metallica,"Garage, Inc.",6267366544.120376,,
Slayer,Diabolus In Musica,6265589358.489612,,
Metallica,And Justice For All,6101829678.051218,,
Slayer,Undisputed Attitude,5836312767.324114,,
Metallica,Hardwired…To Self-Destruct,5762079769.310418,,
Pantera,Reinventing the Steel,5666082346.715232,,
Slayer,Divine Intervention,5488868734.635691,,
Sodom,Agent Orange,5452526074.170036,,
Acid Drinkers,Verses of Steel,5372714571.314109,,
Kreator,Phantom Antichrist,5347080083.255047,,
Machine Head,Through the Ashes of Empires,5299839020.337559,,
Sepultura,Beneath the Remains,5275494901.33074,,
Megadeth,Dystopia,5251488758.424361,,
Slayer,Repentless,5143557034.243547,,
The Haunted,The Dead Eye,5060871126.397109,,
Megadeth,The World Needs A Hero,5001206243.325184,,
Pantera,Official Live: 101 Proof,4898011916.708677,,
Testament,The Formation Of Damnation,4890528604.54525,,
Megadeth,Cryptic Writings,4735502173.378616,,
Kat,Ballady,4734296755.37828,,
Megadeth,Peace Sells... But Who's Buying?,4725639583.16895,,
Testament,The Gathering,4719219037.035468,,
Anthrax,Among the Living,4528111255.453146,,
Slayer,Hell Awaits,4315020367.878243,,
Annihilator,Alice in Hell,4067408930.015356,,
Anthrax,Worship Music,4013700050.413473,,
Kat,666,3924569004.988248,,
Kreator,Violent Revolution,3842341480.434206,,
