Artist,Album,Weight,Tags,Published
Роскошно-Македонский,И горе всем нам,2040753837.5,,
Роскошно-Македонский,Порожнеча,619369000,,
Ghost Cut,Hard Agin',495686844.921875,,
Proto,Stay Free (feat. Djodie),463978376.2349799,,
Cancers,Fatten THE LEECHES(japanese Edition),337950150,,
Proto,Proto,332156254.94505495,,
Cancers,Fatten the Leeches,269187449.2099322,,
ruína,Autofagia,211077614.7147147,,
Klehma,Klehma,203297275.92592597,,
ruína,Caminho Cego,188139260.86956525,"metal, punk, hardcore, Crust, sludgecore",
ruína,Ruína,106596750,,
Cancers,CANCERS | FATTEN THE LEECHES,97445400,,
The Farley Overdose,... Up In Smoke,91809808.69565217,,
Proto,The Roller Coaster Mixtape,88236750,,
Proto,Deeper EP,75843000,,
The Farley Overdose,Greens,66929633.33333333,,
1332 (El Dopa),"Thirteen Thirty-Two 12"" (East Bay Menace)",57421875,,
Proto,The Alchemist,46846419.75308642,,
Loser Denial,Doom Violence 2012,45896812.5,,
The Farley Overdose,Follow The Cult rough,42874539.13043479,,
Moratorium,星のジレンマ,40691320,,
Mother Iron Horse,The Lesser Key,39771604.819277115,2019,
Blurry Vision,Bloodletting,35333763.15789473,,
The Anunnaki,Church of Noise,34867806.07462686,,
Bullhead,Ant Nation,26514444.444444444,,
Cancers,CANCERS | FATTEN THE LEECHES (Japanese Import *bonus tracks),26052923.07692308,,
The Farley Overdose,Greens E.P.,25920999.999999996,,
Cancers,Autosuggestion,22372900.000000007,,
Cancers,FATTEN THE LEECHES (Japanese Import *bonus tracks),20667000,,
île,The Devil,18800842.10526316,,
Iron Pike,II,18701470.37037037,,
Julioso,Space Homme - EP,18672249.103942655,"heavy metal, black metal, metalcore, electronic, electronica",
Phantom Breed,Metaphysical V2.0,17821500,,
Proto,The Rogue Pen EP,17328000,,
île,Mr.Fantasy & the Gods,17280473.684210524,,
1332 (El Dopa),Live At Gilman,16875000,,
Håndgemeng,Grim Riffer,16342273.684210526,2020,
The Anunnaki,The Anunnaki,16109929.201101925,,
Iron Pike,Iron Pike,14646666.666666668,,
Cancers,FATTEN THE LEECHES (japanese Edition),14283000,,
Cancers,Autosuggestion EP,13467000,,
Proto,Vitamin Tracs,12421500,,
Phantom Breed,Metaphysical,11664000,,
Ropeburn,Boundaries of Self Indulgence,11571407.466666665,,
ShitBag,Furnace,10671111.11111111,"hardcore, Crust, Sludge, death metal, crust punk",
Вѣстникъ Европы,Предвкушение,9897340.909090908,,
Palmar de Troya,"Palmar de Troya 10"" EP",9600000,,
Swamp Wolf,Swamp Wolf,9354545.454545455,,
Cell Press,Cell Podcast,9255382.550335573,,
Роскошно-Македонский,Не играй со мной,9240750,,
Iron Pike,Be the Discomfort,9054437.658227848,2020,
Here To Stay,"You've Got Guts Kid, I'll Give You That",8731800,,
Bogrot,Fleshbreath,8354400.000000002,,
Emivita,Demotape,8112000,,
Khayman,The Gentle Art of Self-Destruction,8035208.230452674,,
Proto,Star Tracks,7803000,,
Cancers,Missed / Helpless,7233553.125,,
Swamp Wolf,The Brilliance Of A Feral Mind,6510067.307692308,,
Desolat,Coldtrain EP,6363566.666666666,,
Desolat,Stampftourismus EP,6352500,,
Mother Iron Horse,The Curse,6086339.999999999,,
Heavy Baby Sea Slugs,Teenage Graveyard Party,5808436.363636364,,
Grey Brain,Red Eyes,5733757.03125,,
Moratorium,Night Mothers,5718452.7272727275,2019,
Bogrot,Disrotted / Bogrot,5400000.000000001,,
Proto,The Endless Night,5373128.571428572,,
Cancers,Soft To The Touch EP,5292000,,
Håndgemeng,Hunger,5169172.972972972,,
Harbourage,Wooden Hearts,5043000,,
Cell Press,Cell Press,4999999.999999999,2020,
PERVERS ET TRUANDS,Pervers et truands,4983578.328741964,,
Blurry Vision,Bloodletting FINAL,4899999.999999999,,
Pulpit,Legend#2,4563000,,
FrrT,Cowboys From Bled EP,4285714.285714286,,
Loose Unit,Selection,4213500,,
Desolat,Onmyōdō,4106290.7407407416,,
Proto,Stay Free (feat. Djodie) - Single,3941684.210526316,,
Proto,un monde sang paix,3888000,,
Overgrowth,Overgrowth - Demo,3888000,,
Swamp Wolf,Demo 2015,3750000,,
Moratorium,GLIMMERS - EP,3675000,,
Proto,I Need Sleep,3566856.705882353,,
Palmar de Troya,Palmar De Troya,3390613.6363636367,,
Ropeburn,Mirrors Edge,3384375,,
Blurry Vision,Demo,3313500,,
Внутривенные Войска,Demo 2012,3313500,,
Proto,Devour Soundtrack,3249000,,
Moratorium,Night Mothers - EP,3217687.5,,
Håndgemeng,Motorcycle Death Cult,2984450.3816793896,2019,
Proto,Supplyin' Demand,2964500.0000000005,,
WAHH,Born To Hurt,2883428.571428572,,
Proto,Feuer,2883000,,
Khayman,The Unbreakable Bonds of Slavery,2809000,,
The Anunnaki,Killah (The Remixes),2738000,,
Emivita,Demo,2704000,,
Overgrowth,Instrumental Demos,2700000.0000000005,,
Facas,Facas,2667387.3254564987,2020,
Harbourage,Mørke tidevann,2646000,,
Collapsed Tower,Unease,2504192.949907235,2020,
The Farley Overdose,Greens EP,2449999.9999999995,,
