Artist,Album,Weight,Tags,Published
Ne Obliviscaris,Portal Of I,145296477697.53793,"2012, Progressive metal, black metal, progressive black metal, favorite albums","06 Sep 2017, 04:52"
Ne Obliviscaris,Citadel,52419856820.10169,"2014, Progressive metal, progressive black metal, best of 2014, progressive death metal","06 Sep 2017, 04:51"
Ne Obliviscaris,The Aurora Veil,41848209011.46029,"black metal, Progressive metal, progressive black metal, albums I own, violin","20 Jun 2015, 20:31"
Ne Obliviscaris,Urn,19668396754.00844,"2017, Progressive metal, black metal, death metal, progressive death metal","16 Aug 2017, 15:48"
Ikuinen Kaamos,The Forlorn,14380714339.576202,"progressive black metal, black metal, progressive death metal, melodic black metal, atmospheric black metal",
Ne Obliviscaris,Ne Obliviscaris - Citadel,5821347000,,
Ne Obliviscaris,Ne Obliviscaris - Portal Of I,4320000000,,
Ne Obliviscaris,Sarabande to Nihil,4057287105.869011,"2015, Progressive metal, melodic black metal, progressive black metal, best of 2015","13 May 2015, 16:02"
Khonsu,The Xun Protectorate,3802987559.5342765,"black metal, industrial metal, progressive black metal, industrial black metal, space metal",
Averse,The Endesque Chants,2818852387.1875653,2010,
Ne Obliviscaris,Hiraeth,2550736987.585355,"2015, best of 2015, Progressive metal, progressive black metal, extreme progressive metal",
Ikuinen Kaamos,Fall of Icons,2284175509.0623755,"progressive death metal, Progressive metal, 2010, Melodic Death Metal, death",
Ne Obliviscaris,Intra Venus,2195937214.1990294,,
Acolyte,Shades of Black,1685639618.9930553,,
Galaktik Cancer Squad,Strange Spheres of Hyperborea,1680725139.2786167,"black metal, electronic, instrumental, best of 2012, progressive black metal",
Galaktik Cancer Squad,Ghost Light,1341356335.858209,"progressive black metal, best of 2013",
Galaktik Cancer Squad,Eroberer,1215073894.3396223,"progressive black metal, best of 2011",
Naeramarth,The Innumerable Stars,869571702.7725564,,
Khonsu,Traveller,773015769.2172383,,
Galaktik Cancer Squad,Celestia,766542161.7232544,"best of 2012, progressive black metal, Supreme Albums",
Averse,Scolopendrian Perception Haze,579365508.9502763,,
Fornost Arnor,The Death of A Rose,433330722.260274,progressive black metal,
Vyrion,Vyrion,413213299.9688312,,
Fornost Arnor,Escaping The Abyss,344648083.09859157,progressive black metal,"21 May 2010, 18:34"
Mind Affliction,Pathetic Humanity,319456819.5569136,,
Galaktik Cancer Squad,Ewig Wachend,318061195.13422817,,
Vyrion,Geo,298512886.1292665,2014,
Ikuinen Kaamos,Closure [EP],256639583.55437666,,
Ikuinen Kaamos,Closure (EP),240724716.2790698,,
Krallice with Dave Edwardson,Loüm,219520136.0655738,2017,
Ne Obliviscaris,"Urn, Pt. I: And Within the Void We Are Breathless",211602716.31982476,,
Acolyte,Alta,195387129.45326278,"progressive black metal, Post-Black Metal",
Dark Portrait,A Harrowing Atrocity,165483540,,
Ne Obliviscaris,The Aurora Veil [DEMO],156579096.77419356,,
Ne Obliviscaris,"Urn, Pt. II: As Embers Dance in Our Eyes",152321241.91461837,,
Khonsu,A Jhator Ascension,151831661.9950536,,
IATT,Nomenclature,150885472.14869893,,
Dark Portrait,Α Harrowing Atrocity,144144272.72727272,,
Ikuinen Kaamos,So Rose The Dreadful Ghost,137717735.8490566,"black metal, progressive black metal",
Ne Obliviscaris,The Portal of I,137534769.23076925,,
Ne Obliviscaris,The Aurora Evil (Demo),135000000,,
Antisoph,Antisoph,133531948.05194807,,
◊,Zyklus,132476542.88472147,,
Ikuinen Kaamos,Epilogue,131636832.9896907,,
Ikuinen Kaamos,Forlorn,130320999.99999997,,
Hanormale,天照大御神,124125833.33333333,,
Ne Obliviscaris,Acoustic,100467000,,
Ne Obliviscaris,PBS 106.7FM - 17/12/08,94162500,,
Ne Obliviscaris,The Aurora Veil (demo),79182185.84070797,,
Sylff,Inner Devastation | Outer Serenity,74663122.78481013,,
X-Odus,Your Doom Proceeding,73080096.77419354,,
Galaktik Cancer Squad,Isolation/Separation,72951384.14634147,,
Tómarúm,Wounds Ever Expanding,72360535.8490566,,
Ne Obliviscaris,Ne Obliviscaris - Hiraeth (EP),72075000,,
Ne Obliviscaris,Live PBS Radio,69312000,,
Libethra,Best of Libethra,68403000,,
Show Me Wolves,The World They Took Over,66770656.40625,,
Hanormale,Amaterasu Omikami,66479595.454545446,2015,
Myrkul,The Wayward Path,64142880.4347826,,
Vyrion,Geo 2014,63948000,,
Ne Obliviscaris,Live at The Castle Victoria October 5 2008,63654000,,
Ne Obliviscaris,Hiraeth (EP),60778758.620689645,,
Khonsu,The Observatory,55984749.70645793,,
Acolyte,Leng,55754878.07807808,,
Khonsu,Anomlia,54854641.30434783,,
Ne Obliviscaris,Ne Obliviscaris - Sarabande To Nihil (EP),54675000,,
Ikuinen Kaamos,The Lands of the Plague (demo),54325396.82539683,,
Fleischwolf,Demo 1,52272000.00000001,,
Ikuinen Kaamos,(EP) Closure,51483000,,
I Will Tear This World Apart,III,49169603.36842106,,
Mind Affliction,"Live at Lizard King, 12-01-25",46818000,,
Bränd Jord,Ont krut,41772000,,
Ne Obliviscaris,Sarabande To Nihil (EP),39168150,,
Ne Obliviscaris,NeObliviscaris.bandcamp.com,38400000,,
Ne Obliviscaris,Ne Obliviscaris,37851923.07692307,,
Inanem,Blackwork,37842793.322649576,,
lautreamont,Silence Of The Deceased,37126455.44554455,,
Show Me Wolves,"Between Man, God And False Idols",35670567.75323276,,
ARZERT,MALKIOTO,35631770.833333336,,
Ne Obliviscaris,Portal Of I 2LP,34445000.00000001,,
Ikuinen Kaamos,02 - Fall Of Icons,33075000,,
Tómarúm,Condemned to a Life of Grief,32396139.999999996,,
Ne Obliviscaris,"Urn, Pt. 1 (And Within the Void We Are Breathless)",32129562.616822433,,
ireshrine,Lycanthropia,32044327.822222218,,
Ikuinen Kaamos,Closure EP,31062260.869565215,,
Fell Willow,Elsewhere,30253669.714285713,,
Guillen,Into the Void,30169735.465116274,,
Ikuinen Kaamos,Fall Of Icons [Meddening Media MAD006A-CD],30000000,,
Occasvs,Nocturnal Majestic Mysteria,29447578.94736842,,
Libethra,Libethra Demo 2014,28227000,,
Ne Obliviscaris,Hiraeth EP,26640545.454545453,,
◊,Helios,26252160.000000004,,
Ne Obliviscaris,Citadel 2014,25947000.000000004,,
Bränd Jord,Ledan & eländet,25837473.684210524,,
The Conquering,Far Beyond,24653881.263157897,,
Libethra,Zondvloed,24647998.582766436,,
Mind Affliction,Stay Afflicted (demo),24193500.000000004,,
Ikuinen Kaamos,Closure E.P,23104000,,
Ferus Din,The Great Dying,23000108,,
Galaktik Cancer Squad,Oceans of Piss and Blood,22817755.434782606,,
