Artist,Album,Weight,Tags,Published
Truth Of Blood,Northgrind an der Knock!,711334090.9090909,,
Methodical Perversion,No Offense,622748166.6666667,,
Fisura Craneal,Desobedientes Oms,399675000.00000006,,
ZERG,The crosses of destiny,287370750,,
ZERG,summer hits,230187000,,
Vomitando Bilis,Anotaciones Gastronomicas de un antropofago reconocido,203234400.00000003,,
Eradikal Insane,Mithra,162613578.2063055,,
Instant,Borders,151898400,,
Tower of Wankers,Procrasturbation,140148166.66666666,,
GRIND.bot,Object.Oriented,127008000,,
Tower of Wankers,The Second Coming,121800999.99999997,,
Head Brain Blocade,Destruction Of Principle Of Life,119958391.30434783,,
Tower of Wankers,Third Bog Along,112754076.9230769,,
Deathtopia,Caesarean section,91127817.70786518,,
Tower of Wankers,"So Far, So Crud",88506250.00000001,,
The True Necro Nick,Demo 2009,86775363.63636364,,
Aquagutturale,Gore Garry Sodomizing,84835105.2631579,,
Grindfather,Boombasting Foolosophy & Moody Cloaca,77458441.55844155,,
Knuckle Dragger,Drone,73947000,,
Restos Humanos,Restos Humanos,70520823.52941176,,
Battle Pope,"The Holy Trinity: Bitches, Dicks and Gonorrhea",69732836.8352992,,
Bleeding out,Lifelong Death Fantasy,64654081.50470221,deathgrind,
The True Necro Nick,"May 11, 2009",63948000,,
The Oily Menace,Modulistic Terror (demo),60674400,,
The Oily Menace,Piece By Piece,54982090.90909091,,
ZERG,Night Of The Living Dead,49952250,,
Resin Tomb,EP 2020,47343368.909512766,,
Subtera,Discord,43733787.103777684,,
Tower of Wankers,Grind Over Matter,41708343.75,,
Mentality,Teonanacatl,40627200,"grindcore, Avant-garde Metal, goregrind, deathgrind, Avant-Prog",
ZERG,Rotting Heroes,40091436.823104694,,
Misery Index + Structure Of Lies,Split CD,39987769.23076923,,
Bleeding out,ClearMusicDownloader,39675000,,
The True Necro Nick,"January 07, 2010",39675000,,
Neigh,Maybe,36946470.97791798,,
GRIND.bot,Object Oriented,36076421.05263158,,
A Nail Through the Urethra,The Hangover Avodkalypse,35976239.66942149,,
Vomitando Bilis,Anotaciones Gastronómicas de un antropófago reconocido,35460923.07692307,,
The Grindful Dead,I Spit On Your God,34619065.573770486,,
Gerbert,Children's Fun 365:Sing Along With Gerbert 2,34201500,,
Billy Vera,My 80's collection,33708000,,
Sadistic Kill,Sadistic Killer Guide,33075000,,
Grindfather,Boombasting Foolosophy/Moody Cloaca (Split),31827000,,
Neigh,CmeCry,31158075.80174927,,
Billy Vera,Best Of Billy Vera & The Beaters,30403732.52279635,,
Gerbert,Children's Fun 365:Sing Along With Gerbert 3,30246000,,
Sotana,Secta del Acantilado,29970613.636363637,,
Gerbert,Children's Fun 365:Sing Along With Gerbert 1,29821500,,
Vomitando Bilis,Anotaciones Gastronomicas De Un Antropofago Reconocido (EP),29821500,,
Deaf & Dumb,Evildarkrooted... Total Dumb,29418857.14285715,,
Instant,Overfitted.Ddcr.Biz,29403000,,
ghostslug,Empyreal Reign of the Slimelord,28672000,,
The Oily Menace,Cloud Rat / The Oily Menace / Wolbachia split,28227000,,
Sadistic Kill,C.C.C. 38,27075000,,
Battle Pope,Pantless Carnage EP,25372992.810457513,,
Battle Pope,Battle Pope vs. Jesus Christ Posse,25245729.729729727,,
Trigger The Blood,Purgation,24055972.602739725,,
The Oily Menace,Cloud Rat / The Oily Menace / Wolbachia,23167350,,
Burning Butthairs,Dirty sanchez,22875461.538461536,,
Lead Farmer,Born To Grind,22304920.93603287,,
Resin Tomb,Resin Tomb,22041845.45454545,2020,
Instant,Wounded & Deserted,21761309.09090909,,
Subtera,Nothing and Death,21112513.533653844,,
DEDTH,In Stalin We Trust,20691157.89473684,,
Instant,salvation,20667000,,
ghostslug,暗闇の可愛さ,20485344.827586208,,
Sadistic Kill,Sadistic Killer Live,19200000,,
Deathtopia,Human Anatomy Show,19166692.121674936,,
Rotting Head,Sucked Inside Out,18434062.5,,
Hallucination Realized,Exposed As Rot / Hallucination Realized,17328000,,
Knuckle Dragger,Ritual Abuse in the Godless South,17326021.276595745,,
Deaf & Dumb,Evildarkrooted... Total Dumb!!,17280666.666666668,,
QEDDESHET,COCYTUS,16800931.03448276,,
Penguin On Fire,Singles,16428000,,
Burning Butthairs,Evening Feast,16229640,,
Hallucination Realized,Incinerated,15839635.085714286,,
The Oily Menace,Modulistic Terror demo 2010,15312500.000000004,,
Tower of Wankers,So Far So Crud,15000000,,
M.D.K,Vanquish,14601599.999999996,,
The True Necro Nick,"August 20, 2009",13872000,,
QEDDESHET,DISRUPTIVE FAITH,13479670.588235293,,
grieta,Alas de Fuego,13467000,,
Silovanje,Taste of Death,13323544.814814813,,
Subtera,Álbum Desconhecido (28/3/2009 21:04:48),13254000,,
Hallucination Realized,Hallucination Realized / Skuz,12996000,,
QEDDESHET,DARK HERO,12928461.538461538,,
Infected Religion,2020,12363464.685714288,2020,
Instant,sourcery,12150000,,
Billy Vera,20 Collector's Records Of the 50's & 60's Vol. 1,11616000,,
Billy Vera,Top 1000 Pop Hits of the 80's,11489732.851985559,,
Instant,Alternative Rock sepanjang masa[evergreen hits],11094000.000000002,,
Battle Pope,The Holy Trinity,10834714.285714285,,
Hallucination Realized,Skuz / Hallucination Realized split,10800000.000000002,,
Hallucination Realized,Hallucination Realized / Exposed as Rot split,10800000.000000002,,
Deaf & Dumb,Evilive,10752666.666666668,,
The Bastard Within,Better Dead Than Friends,10677212.171052633,,
Billy Vera,Billboard Top 100 of 1987,10619320.408163264,,
Infected Religion,2020 (320),10490700,,
Hallucination Realized,Split Discography '17-'19,10404000,,
Sadistic Kill,Cirugía Cerebral Calibre 38,10342191.176470589,,
