Artist,Album,Weight,Tags,Published
Carnal Savagery,Zombie Infested,87167757352.94116,,
God of Carnage,Red Light,2360789101.190476,,
Bigotry,Blue Notes and Hot Rhythm,324723000,,
Deceased…,Luck of the Corpse (Remastered),201423674.64114836,,
Bleak Silence,6.6.6. AIFF,174243000,,
Deceased…,Fearless Undead Machines,172169388.19320217,,
Zordon,Another victim,156024999.99999997,,
Carnal Savagery,Coffins of the Undead,133225000,,
Deceased…,Ghostly White,123405644.62809917,,
Deceased…,The Blueprints for Madness,117719188.3767535,,
Deceased…,Supernatural Addiction,110909782.51599148,"metal, thrash metal, death metal, old school death metal",
Deceased…,As The Weird Travel On,93165343.43434344,,
Dementaria,Violencia Extrema,76125632.68737532,,
Mephitic Corpse,Immense Thickening Vomit,75717301.51072125,,
zombie riot,Reign Of Rotten Flesh,72275296.5,old school death metal,
Zordon,Power Rangers Themes,69312000,,
Death Kult,Beyond The Flesh,68631140.51130779,,
Werewolph,Feel the Laser,64773791.411042936,,
Soliloquy,Up - Single,63948000,,
Hell Spawn,Album,62160230.76923076,,
Deceased…,Surreal Overdose,61269425.10121458,"metal, thrash metal, death metal, old school death metal",
Lars Müller-Bohn,Fearmongerer,60870585.9375,"death metal, old school death metal",
Infidel Reich,Infidel Reich,58112893.27731093,"metal, death metal, old school death metal",
Asystole,higher form of hatred,57157839.88603989,,
モービッド・エンジェル,ヘレティック,56550241.07142858,,
Coagulate,The Art of Cryptosis,49484977.50000001,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD1,47386233.50253808,,
Sol De Sangre,Sol de Sangre,46888636.36363637,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD3,43271597.315436244,,
Evilcünt,No Rest For The Mind,41815846.15384616,2020,
Bigotry,Bigotry CD,41067000,,
Soliloquy,Esoterica,40326451.199999996,,
Lars Müller-Bohn,Out of Hands,40207292.85714286,"thrash metal, death metal, old school death metal",
FORCEFED HORSEHEAD,Forcefed Horsehead,38567849.056603774,,
Demogoth,Flesh Consumed,37200600,,
Graverape,Exhuming Decay,36238419.59183673,,
Slainhead,live,34992000,,
Bloodcut,The Old Cemetery Stories,34052381.11888112,"death metal, old school death metal",
А. Крупнов & Черный обелиск,Брат 2 (За кадром),32072727.27272727,,
Cadaveribus,Open the Gate - EP,31647450,,
Unfit Ass.,Absurd Reality / Flagging Water,30827766.39030612,,
ZOUS,Pandemicon,28673082.405594397,2020,
Death Kult,Álbum desconocido (24/09/2016 10:52:26 a.m.),28227000,,
Slainhead,DEMO,27075000,,
Abysmalist,Reflections of Horror,26826483.87096774,2019,
Soliloquy,Michael Manring,26209090.90909091,,
Soliloquy,Soliloquy,25671111.11111111,,
Swedish Death Metal Demos,Swedish Death Metal Demos CD2,25497345.132743362,,
Skuz,Endless Grief,21876480,,
Ataudes,Merecemos La Extincion,21546150.000000004,,
Death Kommander,Pro Patria Mori,21432750,,
Unfit Ass.,Absurd Reality_Flagging Water,21168000,,
Deceased…,Behind the Mourner's Veil,18944853.333333332,,
Infidel Reich,Reichenstein,17881002.70866142,"metal, thrash metal, death metal, old school death metal",
Cadaveribus,Open The Gate,17808400,,
Lars Müller-Bohn,Radio Unavailable,17643600,,
Coagulate,Mien,17523135,,
Hell Spawn,Far Beyond Death,17173500,,
Kuvotus,Demo,16735725.5483871,,
Centenary,...Where No Lives Matter,16669800,"death metal, old school death metal",
Ataudes,Merecemos la Extinción,16624698.656898659,,
Riparian,Riparian,15361486.30366492,"grindcore, death metal, Technical Death Metal, old school death metal, OSDM",
Slainhead,Lynch,14933454.545454547,,
Death Metal,Death Metal Compilation Part V,14229600,,
FORCEFED HORSEHEAD,Bloodshine,13498050,,
Death Metal,UK Deathfest,12675000,,
Evilcünt,Born. Suffer. Die,12445928.571428573,,
Asystole,Earth Without Christ,12210550.000000002,,
Red Dead,Red Dead Redemption Original Soundtrack,11733428.571428573,,
Dismembered Carnage,Blasphemed Betrayal,11550471.836734693,,
Death Kult,Under The Sign Of Death,10634144.202898553,,
Bigotry,Step to the Grave,10618643.749999998,,
6th Counted Murder,Individual,10059362.068965517,,
Ripping Death,Tales of the Ripper,9832551.724137932,,
PUTREFIED CORPSE,Left to Rot,9740220.19367226,,
FORCEFED HORSEHEAD,Deux,9590387.75510204,,
Coagulate,Bent,9350492.86250939,,
K.O.D,Ghanaboyz Formation (feat. Zingee & R30) - Single,9099200,,
Death Metal,The Van Murders,9094736.842105264,,
FORCEFED HORSEHEAD,Hunting Witches,8781481.656804733,,
Soliloquy,2nd EP hopefullly,8748000,,
Soliloquy,?,8427000,,
Red Dead,Forest of chaos,7835522.727272727,,
Death Metal,Abuducted,7803000,,
Ataudes,Merecemos la Extinción (320),7396000,,
Zordon,Demo,6936000,,
Soliloquy,Operation Space Magic,6912000,,
Skuz,Skuz / Hallucination Realized split,6627000,,
K.O.D,Lord Of The Stove,6627000,,
Skuz,Hallucination Realized / Skuz,6534000.000000001,,
Death Metal,Death Metal,6128727.2727272725,,
Centenary,Into the Graveless Beyond,5952000,,
モービッド・エンジェル,Altars of Madness,5923681.818181817,,
Zordon,Notatki głosowe,5808000,,
K.O.D,K.O.D. [EP],5776000,,
モービッド・エンジェル,Heretic (Japan Edition),5547000.000000001,,
Mephitic Corpse,Immense Thickening Vomit (Demo),5528647.05882353,,
Defective,March of the Insects (EP),5376000,,
Zordon,Fox Kids Soundtracks,5292000,,
Bigotry,<Unknown>,5043000,,
