Artist,Album,Weight,Tags,Published
Massgrav,Massgrav Best,346429548000,,
Tragedy,Vengeance,44494607037.6777,"Crust, d-beat, hardcore, favorite albums, vinyl",
Disfear,Live the Storm,34946243171.60098,"crust punk, Crust, albums I own, 2008, d-beat",
Tragedy,Nerve Damage,27604355037.084442,"Crust, 2006, us, My Favorite Albums",
Totalt Jävla Mörker,Totalt Jävla Mörker,25202900935.549587,"grindcore, best of 2006, Crust, 2006, registret",
Young and in the Way,When Life Comes To Death,22333724640.78705,"black metal, Crust, blackened crust, 2014, best of 2014","22 Jun 2014, 08:27"
Tragedy,Tragedy,19058686047.6081,"hardcore punk, Crust, 2000, crust punk, favourite albums",
From Ashes Rise,Nightmares,17102150407.025087,"hardcore, Crust, metalcore, jazz, 2003","20 Jul 2010, 10:31"
Skitsystem,Stigmata,17078783195.008076,"Crust, 2006, grindcore, death metal, crust punk",
Disfear,Misanthropic Generation,13971681185.0936,"Crust, crust punk, d-beat, 2003, metal",
Amebix,Monolith,13853296906.997675,"crust punk, Crust, anarcho-punk, 1987, metal",
Wolfbrigade,Damned,11576602810.320286,"Crust, crust punk, hardcore punk, d-beat, metal",
Tragedy,Darker Days Ahead,10581963327.744875,"Crust, neocrust, Sludge, crust punk",
Young and in the Way,"I AM NOT WHAT I AM 12""",10213546030.616302,,
Antischism,Discography,10044843066.847826,,
His Hero Is Gone,Fifteen Covnts Of Arson,9853135809.697601,,
Wolfbrigade,Comalive,9587852360.945065,"Crust, metal, hardcore, crust punk, d-beat",
Agrimonia,Agrimonia,9518427025.603144,"black metal, Female fronted metal, metal, 2008, Crust",
Amebix,Arise!,9323906418.396515,"crust punk, 1985, hardcore, Crust, metal",
His Hero Is Gone,Monuments to Thieves,9257286404.539694,"Crust, good, crust punk, 1997, Sludge",
Martyrdöd,Sekt,9255103057.824474,"swedish, Crust, best, brilliant, holy fucking shit",
Wolfbrigade,In Darkness You Feel No Regrets,9204608756.298515,"Crust, hardcore, swedish, albums I own, 2003",
Pisschrist,Nothing Has Changed,8840946254.801537,best crust album ever,
Bagna,Split,8827597595.823093,,
Amebix,Arise,8588795595.186935,,
Martyrdöd,Paranoia,8281933681.034912,"metal, Crust, 2012, My Favorite Albums, blackened crust",
Bagna,All,8197227000,,
Martyrdöd,In Extremis,7806171543.144339,"black metal, Crust, 2005, Masterpiece, blackened crust",
Pisschrist,Victims Of Faith,7582990202.217528,"Crust, crust punk, d-beat",
Disrupt,Unrest,6688474436.750679,"grindcore, punk, 1994, albums I own, Crust",
Totalt Jävla Mörker,Söndra & Härska,6516858433.542586,"2009, Crust, magnus lindberg, crust punk, CD",
Agrimonia,Rites of Separation,6502717848.250104,"2013, Crust, Female fronted metal, metal, hardcore",
Doom,DOOM!,5946442988.313857,,
Dishammer,Vintage Addiction,5944961822.682682,"Crust, black metal, d-beat, blackened crust, boobs on cover",
His Hero Is Gone,Fifteen Counts of Arson,5933434937.872112,"1997, 1996, Crust, Sludge, good",
Young and in the Way,Amen,5908172172.437147,"Crust, crust punk, 2010, hardcore punk, ep",
Martyrdöd,Elddop,5833828224.477796,"metal, Crust, 2014",
Doom,Doomed from the Start,5559006931.318682,"punk, hardcore, Crust, crust punk, hardcore punk",
Massgrav,Napalm Over Stureplan,5467446961.832062,mangel,
Young and in the Way,V. Eternal Depression,5237993403.217993,2011,
Wolfpack,Allday Hell,4874378455.155031,"swedish, Crust, crustcore, crust punk, 1999",
Amebix,No Sanctuary,4769723442.710521,"metal, Crust, post-punk, anarcho-punk, crust punk",
Martyrdöd,List,4312443921.113562,"Crust, metal, crust punk, d-beat, crustcore",
Nausea,"Punk Terrorist Anthology, Vol. 2: 1986-1988",4205760908.00368,"Crust, anarcho-punk, crust punk, punk, new york",
Axegrinder,The rise of the serpent men,4172984365.6837373,"Crust, crust punk, metal, thrash metal, thrash",
Amebix,Arise Plus Two,4155084677.6217504,"Crust, metal, punk, hardcore, albums I own",
Skitsystem,Grå värld / Svarta tankar,4120041072.374662,"Crust, 1999, grindcore, hardcore, d-beat",
Amebix,Sonic Mass,4035924901.3381553,"2011, post-punk, crust punk, amebix, metal",
Massgrav,Napalm över Storeplan,3905643000,,
Bastard,No Hope In Here (Discography),3837090220.6896553,,
Amebix,No Sanctuary: The Spiderleg Recordings,3665975775.966305,"metal, punk, Crust, hardcore punk, headbangers ball",
Hellshock,They wait for you still,3655467869.4291406,,
Doom,Born Like This (Bonus Track Version),3644575416.517055,,
Svffer,Lies We Live,3605008543.2159147,"Crust, screamo",
Iskra,FullBand,3599101500,,
Axegrinder,Rise of the Serpent Men,3599052884.2941194,"Crust, crust punk, metal, epic, thrash metal",
Bagna,Split with I know,3595104270.0000005,,
Nausea,The Punk Terrorist Anthology Vol. 1,3547311048.3205714,,
Hellshock,Only the Dead Know the End of War,3312393048.2351675,"hardcore, Crust, thrash, crust punk, stenchcore",
Nuclear Death Terror,s/t,3302261691.8199105,,
Ak47,Autopsja,3281810173.1443596,,
Genocide Superstars,Superstar Destroyer,3266447537.9931526,"crust punk, hardcore, Crust, 2003, Rock 'n' Roll",
Agrimonia,Awaken,3080606272.4036856,"Female fronted metal, metal, Crust, doom metal, alternative metal",
From Ashes Rise,Discography,3072684183.591784,,
Doom,War Crimes (Inhuman Beings),3052115471.729032,"crust punk, grindcore, Crust, Doom, hardcore punk",
Nausea,Extinction The Second Coming,3047604116.6666665,,
Nausea,Extinction,3007379807.67837,"Crust, crust punk, new york, thrash metal, NYC",
Doom,Total Doom,2980638312.919505,"Crust, punk, grindcore, crust punk, d-beat",
Massgrav,Still the Kings (CD version),2910430760.786703,,
Martyrdöd,Martyrdöd,2904160786.138486,"metal, Crust, 2003, rather bad",
Wolfbrigade,Progression Regression,2838501735.9524894,Dbeat,
Bastard,Wind of Pain,2803741009.487922,,
Framtid,Under The Ashes MLP,2724638447.60479,,
Disfear,Everyday Slaughter,2699876918.162241,"Crust, 1997, metal, swedish, vinyl",
Skitsystem,Enkel resa till rännstenen,2672418624.8189707,"2001, grindcore, swedish, Crust, vinyl",
